geo_id,input_industry_chemical_other_naphtha_demand,input_industry_chemical_other_naphtha_non_energetic_demand,input_industry_refinery_transformation_crude_oil_naphtha_demand,input_percentage_of_diesel_industry_final_demand_crude_oil_non_energetic,input_percentage_of_biodiesel_industry_final_demand_crude_oil_non_energetic,input_percentage_of_kerosene_industry_final_demand_crude_oil_non_energetic,input_percentage_of_bio_kerosene_industry_final_demand_crude_oil_non_energetic,input_percentage_of_lpg_industry_final_demand_crude_oil_non_energetic,input_percentage_of_bio_oil_industry_final_demand_crude_oil_non_energetic,input_percentage_of_crude_oil_industry_final_demand_crude_oil_non_energetic
GM0168,0,0,0,0,0,0,0,0,0,1
GM0263,0,0,0,0,0,0,0,0,0,1
GM1641,0,0,0,0,0,0,0,0,0,1
GM0556,0,0,0,0,0,0,0,0,0,1
GM0935,0,0,0,0,0,0,0,0,0,1
GM0420,0,0,0,0,0,0,0,0,0,1
GM0938,0,0,0,0,0,0,0,0,0,1
GM1948,0,0,0,0,0,0,0,0,0,1
GM0119,0,0,0,0,0,0,0,0,0,1
GM0687,0,0,0,0,0,0,0,0,0,1
GM1842,0,0,0,0,0,0,0,0,0,1
GM1731,0,0,0,0,0,0,0,0,0,1
GM1952,0,0,0,0,0,0,0,0,0,1
GM0815,0,0,0,0,0,0,0,0,0,1
GM1709,0,0,0,0,0,0,0,0,0,1
GM1978,0,0,0,0,0,0,0,0,0,1
GM1955,0,0,0,0,0,0,0,0,0,1
GM0335,0,0,0,0,0,0,0,0,0,1
GM0944,0,0,0,0,0,0,0,0,0,1
GM1740,0,0,0,0,0,0,0,0,0,1
GM0946,0,0,0,0,0,0,0,0,0,1
GM0356,0,0,0,0,0,0,0,0,0,1
GM0569,0,0,0,0,0,0,0,0,0,1
GM0267,0,0,0,0,0,0,0,0,0,1
GM0268,0,0,0,0,0,0,0,0,0,1
GM1930,0,0,0,0,0,0,0,0,0,1
GM1970,0,0,0,0,0,0,0,0,0,1
GM1695,0,0,0,0,0,0,0,0,0,1
GM1699,0,0,0,0,0,0,0,0,0,1
GM0171,0,0,0,0,0,0,0,0,0,1
GM0575,0,0,0,0,0,0,0,0,0,1
GM0820,0,0,0,0,0,0,0,0,0,1
GM0302,0,0,0,0,0,0,0,0,0,1
GM0579,0,0,0,0,0,0,0,0,0,1
GM0823,0,0,0,0,0,0,0,0,0,1
GM0824,0,0,0,0,0,0,0,0,0,1
GM1895,0,0,0,0,0,0,0,0,0,1
GM0269,0,0,0,0,0,0,0,0,0,1
GM0173,0,0,0,0,0,0,0,0,0,1
GM1773,0,0,0,0,0,0,0,0,0,1
GM0175,0,0,0,0,0,0,0,0,0,1
GM1586,0,0,0,0,0,0,0,0,0,1
GM0826,0,0,0,0,0,0,0,0,0,1
GM0085,0,0,0,0,0,0,0,0,0,1
GM0431,0,0,0,0,0,0,0,0,0,1
GM0432,0,0,0,0,0,0,0,0,0,1
GM0086,0,0,0,0,0,0,0,0,0,1
GM0828,0,0,0,0,0,0,0,0,0,1
GM1509,0,0,0,0,0,0,0,0,0,1
GM0437,0,0,0,0,0,0,0,0,0,1
GM0589,0,0,0,0,0,0,0,0,0,1
GM1734,0,0,0,0,0,0,0,0,0,1
GM0590,0,0,0,0,0,0,0,0,0,1
GM1894,0,0,0,0,0,0,0,0,0,1
GM0765,0,0,0,0,0,0,0,0,0,1
GM1926,0,0,0,0,0,0,0,0,0,1
GM0439,0,0,0,0,0,0,0,0,0,1
GM0273,0,0,0,0,0,0,0,0,0,1
GM0177,0,0,0,0,0,0,0,0,0,1
GM0703,0,0,0,0,0,0,0,0,0,1
GM0274,0,0,0,0,0,0,0,0,0,1
GM0339,0,0,0,0,0,0,0,0,0,1
GM1667,0,0,0,0,0,0,0,0,0,1
GM0275,0,0,0,0,0,0,0,0,0,1
GM0340,0,0,0,0,0,0,0,0,0,1
GM0597,0,0,0,0,0,0,0,0,0,1
GM1742,0,0,0,0,0,0,0,0,0,1
GM0603,0,0,0,0,0,0,0,0,0,1
GM1669,0,0,0,0,0,0,0,0,0,1
GM0957,0,0,0,0,0,0,0,0,0,1
GM0736,0,0,0,0,0,0,0,0,0,1
GM1674,0,0,0,0,0,0,0,0,0,1
GM0599,0,0,0,0,0,0,0,0,0,1
GM0277,0,0,0,0,0,0,0,0,0,1
GM0840,0,0,0,0,0,0,0,0,0,1
GM0441,0,0,0,0,0,0,0,0,0,1
GM0279,0,0,0,0,0,0,0,0,0,1
GM0606,0,0,0,0,0,0,0,0,0,1
GM0088,0,0,0,0,0,0,0,0,0,1
GM1676,0,0,0,0,0,0,0,0,0,1
GM0965,0,0,0,0,0,0,0,0,0,1
GM1702,0,0,0,0,0,0,0,0,0,1
GM0845,0,0,0,0,0,0,0,0,0,1
GM1883,0,0,0,0,0,0,0,0,0,1
GM0610,0,0,0,0,0,0,0,0,0,1
GM1714,0,0,0,0,0,0,0,0,0,1
GM0090,0,0,0,0,0,0,0,0,0,1
GM0342,0,0,0,0,0,0,0,0,0,1
GM0847,0,0,0,0,0,0,0,0,0,1
GM0848,0,0,0,0,0,0,0,0,0,1
GM0037,0,0,0,0,0,0,0,0,0,1
GM0180,0,0,0,0,0,0,0,0,0,1
GM0532,0,0,0,0,0,0,0,0,0,1
GM0851,0,0,0,0,0,0,0,0,0,1
GM1708,0,0,0,0,0,0,0,0,0,1
GM0971,0,0,0,0,0,0,0,0,0,1
GM1904,0,0,0,0,0,0,0,0,0,1
GM1900,0,0,0,0,0,0,0,0,0,1
GM0715,0,0,0,0,0,0,0,0,0,1
GM0093,0,0,0,0,0,0,0,0,0,1
GM0448,0,0,0,0,0,0,0,0,0,1
GM1525,0,0,0,0,0,0,0,0,0,1
GM0716,0,0,0,0,0,0,0,0,0,1
GM0281,0,0,0,0,0,0,0,0,0,1
GM0855,0,0,0,0,0,0,0,0,0,1
GM0183,0,0,0,0,0,0,0,0,0,1
GM1700,0,0,0,0,0,0,0,0,0,1
GM1730,0,0,0,0,0,0,0,0,0,1
GM0737,0,0,0,0,0,0,0,0,0,1
GM0856,0,0,0,0,0,0,0,0,0,1
GM0450,0,0,0,0,0,0,0,0,0,1
GM0451,0,0,0,0,0,0,0,0,0,1
GM0184,0,0,0,0,0,0,0,0,0,1
GM0344,0,0,0,0,0,0,0,0,0,1
GM1581,0,0,0,0,0,0,0,0,0,1
GM0981,0,0,0,0,0,0,0,0,0,1
GM0994,0,0,0,0,0,0,0,0,0,1
GM0858,0,0,0,0,0,0,0,0,0,1
GM0047,0,0,0,0,0,0,0,0,0,1
GM0345,0,0,0,0,0,0,0,0,0,1
GM0717,0,0,0,0,0,0,0,0,0,1
GM0861,0,0,0,0,0,0,0,0,0,1
GM0453,0,0,0,0,0,0,0,0,0,1
GM0983,0,0,0,0,0,0,0,0,0,1
GM0984,0,0,0,0,0,0,0,0,0,1
GM1961,0,0,0,0,0,0,0,0,0,1
GM0622,0,0,0,0,0,0,0,0,0,1
GM0096,0,0,0,0,0,0,0,0,0,1
GM0718,0,0,0,0,0,0,0,0,0,1
GM0986,0,0,0,0,0,0,0,0,0,1
GM0626,0,0,0,0,0,0,0,0,0,1
GM0285,0,0,0,0,0,0,0,0,0,1
GM0865,0,0,0,0,0,0,0,0,0,1
GM1949,0,0,0,0,0,0,0,0,0,1
GM0866,0,0,0,0,0,0,0,0,0,1
GM0867,0,0,0,0,0,0,0,0,0,1
GM0627,0,0,0,0,0,0,0,0,0,1
GM0289,0,0,0,0,0,0,0,0,0,1
GM0629,0,0,0,0,0,0,0,0,0,1
GM0852,0,0,0,0,0,0,0,0,0,1
GM0988,0,0,0,0,0,0,0,0,0,1
GM0457,0,0,0,0,0,0,0,0,0,1
GM1960,0,0,0,0,0,0,0,0,0,1
GM0668,0,0,0,0,0,0,0,0,0,1
GM1969,0,0,0,0,0,0,0,0,0,1
GM1701,0,0,0,0,0,0,0,0,0,1
GM0293,0,0,0,0,0,0,0,0,0,1
GM1950,0,0,0,0,0,0,0,0,0,1
GM1783,0,0,0,0,0,0,0,0,0,1
GM0098,0,0,0,0,0,0,0,0,0,1
GM0614,0,0,0,0,0,0,0,0,0,1
GM0189,0,0,0,0,0,0,0,0,0,1
GM0296,0,0,0,0,0,0,0,0,0,1
GM1696,0,0,0,0,0,0,0,0,0,1
GM0352,0,0,0,0,0,0,0,0,0,1
GM0294,0,0,0,0,0,0,0,0,0,1
GM0873,0,0,0,0,0,0,0,0,0,1
GM0632,0,0,0,0,0,0,0,0,0,1
GM1690,0,0,0,0,0,0,0,0,0,1
GM0880,0,0,0,0,0,0,0,0,0,1
GM0351,0,0,0,0,0,0,0,0,0,1
GM0479,0,0,0,0,0,0,0,0,0,1
GM0297,0,0,0,0,0,0,0,0,0,1
GM0473,0,0,0,0,0,0,0,0,0,1
GM0050,0,0,0,0,0,0,0,0,0,1
GM0355,0,0,0,0,0,0,0,0,0,1
GM0299,0,0,0,0,0,0,0,0,0,1
GM0637,0,0,0,0,0,0,0,0,0,1
GM0638,0,0,0,0,0,0,0,0,0,1
GM1892,0,0,0,0,0,0,0,0,0,1
GM0879,0,0,0,0,0,0,0,0,0,1
GM0301,0,0,0,0,0,0,0,0,0,1
GM1896,0,0,0,0,0,0,0,0,0,1
GM0642,0,0,0,0,0,0,0,0,0,1
GM0193,0,0,0,0,0,0,0,0,0,1
GM1979,0,0,0,0,0,0,0,0,0,1
RES01,0,0,0,0,0,0,0,0,0,1
RES02,0,0,0,0,0,0,0,0,0,1
RES03,0,0,0,0,0,0,0,0,0,1
RES04,0,0,0,0,0,0,0,0,0,1
RES05,0,0,0,0,0,0,0,0,0,1
RES06,0,0,0,0,0,0,0,0,0,1
RES07,0,0,0,0,0,0,0,0,0,1
RES08,0,0,0,0,0,0,0,0,0,1
RES09,0,0,0,0,0,0,0,0,0,1
RES10,0,0,0,0,0,0,0,0,0,1
RES11,0,0,0,0,0,0,0,0,0,1
RES12,0,0,0,0,0,0,0,0,0,1
RES13,0,0,0,0,0,0,0,0,0,1
RES14,0,0,0,0,0,0,0,0,0,1
RES16,0,0,0,0,0,0,0,0,0,1
RES17,0,0,0,0,0,0,0,0,0,1
RES18,0,0,0,0,0,0,0,0,0,1
RES19,0,0,0,0,0,0,0,0,0,1
RES20,0,0,0,0,0,0,0,0,0,1
RES21,0,0,0,0,0,0,0,0,0,1
RES22,0,0,0,0,0,0,0,0,0,1
RES23,0,0,0,0,0,0,0,0,0,1
RES24,0,0,0,0,0,0,0,0,0,1
RES25,0,0,0,0,0,0,0,0,0,1
RES26,0,0,0,0,0,0,0,0,0,1
RES27,0,0,0,0,0,0,0,0,0,1
RES28,0,0,0,0,0,0,0,0,0,1
RES29,0,0,0,0,0,0,0,0,0,1
RES30,0,0,0,0,0,0,0,0,0,1
RES31,0,0,0,0,0,0,0,0,0,1
PV20,0,0,0,0,0,0,0,0,0,1
PV21,0,0,0,0,0,0,0,0,0,1
PV22,0,0,0,0,0,0,0,0,0,1
PV23,0,0,0,0,0,0,0,0,0,1
PV24,0,0,0,0,0,0,0,0,0,1
PV25,0,0,0,0,0,0,0,0,0,1
PV26,0,0,0,0,0,0,0,0,0,1
PV27,0,0,0,0,0,0,0,0,0,1
PV28,0,0,0,0,0,0,0,0,0,1
PV29,0,0,0,0,0,0,0,0,0,1
PV30,0,0,0,0,0,0,0,0,0,1
PV31,0,0,0,0,0,0,0,0,0,1
PV27_2022,0,0,0,0,0,0,0,0,0,1
BEGM35013,0,0,0,0,0,0,0,0,0,1
BEGM13040,0,0,0,0,0,0,0,0,0,1
BEGM11002,0,0,0,0,0,0,0,0,0,1
UKNI01,0,0,0,0,0,0,0,0,0,1
VUNH5,0,0,0,0,0,0,0,0,0,1
