geo_id,present_number_of_apartments_2005_present,present_number_of_apartments_1985_2004,present_number_of_apartments_1965_1984,present_number_of_apartments_1945_1964,present_number_of_apartments_before_1945,present_number_of_terraced_houses_2005_present,present_number_of_terraced_houses_1985_2004,present_number_of_terraced_houses_1965_1984,present_number_of_terraced_houses_1945_1964,present_number_of_terraced_houses_before_1945,present_number_of_semi_detached_houses_2005_present,present_number_of_semi_detached_houses_1985_2004,present_number_of_semi_detached_houses_1965_1984,present_number_of_semi_detached_houses_1945_1964,present_number_of_semi_detached_houses_before_1945,present_number_of_detached_houses_2005_present,present_number_of_detached_houses_1985_2004,present_number_of_detached_houses_1965_1984,present_number_of_detached_houses_1945_1964,present_number_of_detached_houses_before_1945,typical_useful_demand_for_space_heating_apartments_2005_present,typical_useful_demand_for_space_heating_apartments_1985_2004,typical_useful_demand_for_space_heating_apartments_1965_1984,typical_useful_demand_for_space_heating_apartments_1945_1964,typical_useful_demand_for_space_heating_apartments_before_1945,typical_useful_demand_for_space_heating_terraced_houses_2005_present,typical_useful_demand_for_space_heating_terraced_houses_1985_2004,typical_useful_demand_for_space_heating_terraced_houses_1965_1984,typical_useful_demand_for_space_heating_terraced_houses_1945_1964,typical_useful_demand_for_space_heating_terraced_houses_before_1945,typical_useful_demand_for_space_heating_semi_detached_houses_2005_present,typical_useful_demand_for_space_heating_semi_detached_houses_1985_2004,typical_useful_demand_for_space_heating_semi_detached_houses_1965_1984,typical_useful_demand_for_space_heating_semi_detached_houses_1945_1964,typical_useful_demand_for_space_heating_semi_detached_houses_before_1945,typical_useful_demand_for_space_heating_detached_houses_2005_present,typical_useful_demand_for_space_heating_detached_houses_1985_2004,typical_useful_demand_for_space_heating_detached_houses_1965_1984,typical_useful_demand_for_space_heating_detached_houses_1945_1964,typical_useful_demand_for_space_heating_detached_houses_before_1945,present_share_of_apartments_2005_present_in_useful_demand_for_space_heating,present_share_of_apartments_1985_2004_in_useful_demand_for_space_heating,present_share_of_apartments_1965_1984_in_useful_demand_for_space_heating,present_share_of_apartments_1945_1964_in_useful_demand_for_space_heating,present_share_of_apartments_before_1945_in_useful_demand_for_space_heating,present_share_of_terraced_houses_2005_present_in_useful_demand_for_space_heating,present_share_of_terraced_houses_1985_2004_in_useful_demand_for_space_heating,present_share_of_terraced_houses_1965_1984_in_useful_demand_for_space_heating,present_share_of_terraced_houses_1945_1964_in_useful_demand_for_space_heating,present_share_of_terraced_houses_before_1945_in_useful_demand_for_space_heating,present_share_of_semi_detached_houses_2005_present_in_useful_demand_for_space_heating,present_share_of_semi_detached_houses_1985_2004_in_useful_demand_for_space_heating,present_share_of_semi_detached_houses_1965_1984_in_useful_demand_for_space_heating,present_share_of_semi_detached_houses_1945_1964_in_useful_demand_for_space_heating,present_share_of_semi_detached_houses_before_1945_in_useful_demand_for_space_heating,present_share_of_detached_houses_2005_present_in_useful_demand_for_space_heating,present_share_of_detached_houses_1985_2004_in_useful_demand_for_space_heating,present_share_of_detached_houses_1965_1984_in_useful_demand_for_space_heating,present_share_of_detached_houses_1945_1964_in_useful_demand_for_space_heating,present_share_of_detached_houses_before_1945_in_useful_demand_for_space_heating,typical_useful_demand_for_space_heating_buildings_present,present_number_of_buildings,interconnector_capacity
GM0085,233,312,481,24,11,64,180,1354,265,13,142,727,1544,815,117,223,1061,1332,974,1347,116.8140871,159.7609379,143.2529334,302.1701212,203.8062931,117.4351765,154.2426968,173.0850468,201.3293247,249.8075168,114.7552117,161.1009239,188.3178952,239.7233172,306.6523214,119.2839487,151.9584976,222.7557196,290.7232481,290.7412907,0.02019925,0.03089064,0.04546112,0.00162252,0.00086131,0.00609131,0.0157677,0.11306163,0.02458229,0.00096435,0.01271827,0.06392262,0.13452116,0.07433439,0.0116599,0.01802378,0.09299003,0.12432302,0.08667827,0.12132644,251.6666539,1975,60000
GM0086,570,644,313,17,119,187,224,1032,145,64,379,727,1466,675,310,423,1503,1002,701,2466,122.6469268,163.5173992,203.5733297,331.3221003,234.9672401,114.9135096,175.90199,205.8176661,224.501697,301.8537494,115.5067912,167.4998125,216.6849334,253.5568235,300.6229783,118.2859873,149.0352753,225.1638643,275.6574718,306.2119129,0.04978023,0.05265706,0.02519517,0.00137116,0.0103974,0.01555759,0.01781384,0.07773149,0.01089744,0.0048536,0.03119404,0.05672641,0.10806324,0.05098896,0.02470416,0.03537941,0.11253117,0.07706654,0.05263776,0.18445333,284.9999391,986,60000
GM0088,6,18,12,0,18,10,10,19,16,26,39,25,93,46,52,7,40,49,35,65,107.7557402,106.1903597,135.4643134,0,256.8804912,118,149.6190205,130.9477448,265.7905906,240.5566917,104.2372208,147.1336134,172.3743138,187.1650223,346.1961651,115.3724891,134.0927216,230.9258318,324.203113,316.2116525,0.01252605,0.02390858,0.01980082,0,0.03407865,0.01933448,0.01082699,0.03636165,0.0227975,0.04482859,0.08340835,0.04135747,0.15214553,0.08496549,0.09343244,0.01303699,0.06222071,0.07283278,0.05987283,0.1122641,312.7828042,847,60000
GM0090,1012,1634,1851,677,122,702,1073,4238,1652,159,786,1738,2978,1174,478,554,1651,1216,537,1512,118.6396629,163.8658481,211.3657353,223.9577839,191.7962292,114.1838943,164.7909942,201.832874,196.2027164,290.5529,115.801313,154.7591745,211.5381973,225.2197566,303.2925184,115.2295828,140.9664696,214.1772923,277.828552,310.0322567,0.03631323,0.06418727,0.07274034,0.02659059,0.00456973,0.02676597,0.04205284,0.16389729,0.06459777,0.00615938,0.0296632,0.06832147,0.11657586,0.04565689,0.0189658,0.02056422,0.06464623,0.04762753,0.0213567,0.05874769,230.6201173,3328,60000
GM0093,104,72,10,2,62,26,40,120,48,171,71,91,143,110,277,93,140,164,132,405,123.3755928,156.3624699,221.816092,0,270.9215198,111.7969638,168.0353824,215.6568245,242.9053372,297.5247376,118.0086116,179.2314674,234.0800062,282.8103217,319.0027196,114.2704348,150.5137763,239.6746096,323.7153079,326.3968318,0.04316768,0.0333045,0.00486191,0.00091575,0.02856868,0.01393872,0.01696137,0.05756427,0.02170494,0.0676973,0.03145419,0.03879903,0.06168848,0.05118385,0.11272081,0.04507107,0.05837496,0.07433431,0.05869348,0.1789947,281.5384252,1865,60000
GM0096,30,24,17,15,20,10,31,15,62,45,10,45,29,87,44,16,17,21,11,26,91.31,124.9219331,270,302.93,162.9006515,118,152.824775,161.0157233,159.2374589,263.0254773,204.6483516,183.3865744,207.9596809,208.5283704,285.9135932,172.7610392,126.3480062,241.3239633,205.8193277,329.4577016,0.06025148,0.03289636,0.02872163,0.02748467,0.02470988,0.01829108,0.0572176,0.02899744,0.10996377,0.09197775,0.01931909,0.0693824,0.05343987,0.14716022,0.07388308,0.02751393,0.03100749,0.03862982,0.01626849,0.04288395,239.3677882,630,60000
GM0098,314,487,351,38,69,187,199,1323,414,41,340,632,1317,638,380,335,862,740,472,2463,114.4249951,132.2752025,191.6642446,199.7021605,235.0566134,113.8449803,160.6583359,182.4282319,199.9695461,255.0060457,117.2860735,160.4255012,205.3157644,226.6189291,293.1839448,116.228777,146.5225416,222.8975092,290.5979272,298.966219,0.02327951,0.04328706,0.02849754,0.00290585,0.00545003,0.01443302,0.01666635,0.111618,0.03503636,0.00315575,0.02899052,0.05690637,0.11207615,0.05546062,0.02966445,0.02848225,0.07979128,0.06473751,0.0409563,0.21860508,244.4152947,1322,60000
GM0106,2580,1823,3152,1215,380,1261,3659,4135,1192,222,1049,3316,2789,993,1029,570,1157,534,256,843,115.2759943,148.6662685,208.6560613,223.2860484,183.6989634,115.9574993,158.027066,192.7630895,217.9663581,318.2223416,117.5546968,156.5300243,201.7516573,228.7647186,302.8556605,116.9402967,141.7683118,206.1958621,263.8171343,300.81896,0.0780846,0.05572284,0.09836436,0.04182,0.01147755,0.03718569,0.11648217,0.12726373,0.03654789,0.00688323,0.03137845,0.1030371,0.08710202,0.03054314,0.03260452,0.01714524,0.03596158,0.01745145,0.0079828,0.02696164,229.9683671,3520,60000
GM0109,162,854,658,61,212,159,374,1625,369,119,461,1471,1997,872,387,454,1431,1351,822,1644,124.6134602,170.0872426,196.0969207,241.16399,224.6871492,115.8704412,161.0020457,178.7649533,226.0816524,278.0296043,117.4733241,162.3994226,191.8785941,226.7075189,288.5432502,115.4066823,149.4991753,216.6309916,267.5166915,293.4670192,0.01333648,0.05646126,0.04396583,0.00442242,0.01443016,0.01112518,0.02554581,0.1059651,0.02604208,0.00841328,0.0346983,0.09315683,0.12488356,0.05568359,0.02644555,0.03220494,0.09083301,0.08158187,0.04929651,0.10150824,275.613079,2798,60000
GM0114,1506,3361,3773,738,211,594,2303,7198,2432,69,892,4204,5161,3366,1188,993,3412,2352,1704,3713,117.7036279,170.0820794,207.6886047,258.9736265,243.8440589,117.7989886,170.8176169,197.8385228,221.4715197,290.0007097,118.4280201,166.9184254,215.9337861,242.0306546,311.364444,121.6685183,148.8536311,213.7885834,286.0179698,297.8941991,0.02973924,0.06688563,0.07721123,0.01481639,0.00380752,0.01200478,0.04734105,0.14777124,0.04992012,0.00151929,0.01770126,0.08511131,0.10587975,0.06876254,0.02401718,0.01959646,0.06976309,0.0474926,0.03469063,0.07596869,229.7552207,6165,60000
GM0118,1265,1860,2380,697,151,638,1234,3743,1358,170,580,1863,2379,1668,719,556,1315,1183,664,913,120.1101252,157.7424107,229.1619692,203.568405,309.6169101,116.1063588,161.4448714,194.5066673,211.6512098,289.1305695,117.7814438,166.3237256,207.0825666,249.2233044,296.3093025,117.1874584,153.4912593,213.4497748,282.5931857,302.0105581,0.0460716,0.07899729,0.0882181,0.02459739,0.00538612,0.02508107,0.0563811,0.14287121,0.0525455,0.0067253,0.02220128,0.08794194,0.08921932,0.06266762,0.02834138,0.02149504,0.05930417,0.04296975,0.02426975,0.03471507,237.6928519,2684,60000
GM0119,701,1189,1379,466,260,648,1064,1730,842,709,777,1052,1256,511,1114,395,629,311,134,683,103.7153765,166.229104,259.0319636,213.9876299,218.0204917,117.6122641,161.9608614,184.6759969,195.7529299,276.6459293,115.7014937,162.1548746,198.1615203,210.4288761,300.4844315,114.6775439,150.5596507,217.6362031,262.931337,309.4030902,0.04927824,0.07604973,0.08218237,0.0253886,0.01559478,0.04489361,0.06664636,0.10449069,0.05246549,0.04579514,0.0541015,0.06750098,0.07514495,0.03188524,0.07203917,0.02702543,0.03989515,0.01843105,0.00876029,0.04243123,249.1820035,1621,60000
GM0141,1278,2711,2715,2325,442,639,2345,4107,1917,1760,645,1999,2483,1440,2855,573,1368,729,437,861,120.6364367,153.4631442,198.3455068,240.5474658,246.2476977,117.3000541,159.1461999,213.4123925,236.6641436,261.6819972,117.6672565,165.080139,220.6622008,258.5015388,291.5254661,116.4612333,144.3427245,212.8290487,303.3601602,310.2417223,0.03446882,0.07286537,0.08500619,0.07122333,0.01292524,0.01712202,0.06625937,0.12601831,0.0604863,0.05410437,0.01708566,0.05600307,0.07581872,0.04510851,0.08962908,0.01548069,0.03841999,0.0221881,0.01366773,0.02611913,250.0738408,3541,60000
GM0147,398,709,185,13,93,654,720,1120,251,172,586,720,1578,406,610,371,575,381,136,283,68.61574457,147.6854926,160.0434717,180.6122051,295.660802,114.602908,172.1460414,203.8247563,151.9958886,293.0453485,115.7731545,171.6134487,206.3445816,216.0914407,309.3948259,115.7556458,160.7612204,219.9201993,297.8739043,307.5638473,0.03447876,0.07128056,0.01846336,0.00136692,0.00816302,0.06494149,0.07191422,0.11727938,0.02553625,0.01670848,0.0588605,0.07586504,0.1598254,0.04170132,0.06145017,0.03766109,0.05732271,0.03974559,0.01235568,0.02508006,263.7085161,832,60000
GM0148,590,364,222,85,201,447,444,1064,163,19,695,1053,1396,532,287,433,960,1266,592,1068,115.9412475,157.6098224,151.7582125,260.5431605,284.1521809,115.682251,163.4783775,171.5439116,218.6136705,339.49631,116.6761455,162.6561073,194.7797427,229.9304773,272.566828,117.990886,150.078557,218.9741546,287.9457064,291.2765063,0.051159,0.03058961,0.02039292,0.0070852,0.01637962,0.03890164,0.03558805,0.08887295,0.0150388,0.0016045,0.06054269,0.08544445,0.11788301,0.04695389,0.02476558,0.036819,0.07952887,0.10471331,0.05109011,0.0866468,248.0252303,1286,60000
GM0150,1672,3378,4123,3395,2274,1681,4914,3733,1999,4301,1151,2655,2449,1383,2706,615,1269,768,441,1142,116.5544388,146.1814904,236.0458686,198.5862543,207.037397,119.6105604,155.3251648,199.8025166,198.5549656,241.831548,116.4531065,160.8388763,208.0793769,227.3585316,267.5558401,115.100656,147.9088563,217.4747473,283.3504332,299.3173577,0.03520442,0.06844052,0.09430693,0.0856963,0.04923595,0.03437875,0.0998682,0.08132492,0.04855405,0.09164696,0.02360364,0.05316017,0.05258497,0.03422792,0.05700629,0.01276222,0.02597193,0.01640545,0.01156182,0.02405859,247.7936005,4610,60000
GM0153,4148,6798,8641,6121,1408,1720,5135,8112,3017,3122,1477,3442,4055,3411,8541,1137,1877,1046,657,1553,122.6924821,163.8024718,200.9121192,233.7563132,257.1229253,113.1737151,145.1257231,180.5015285,219.9858395,232.254237,114.2084869,150.7264712,197.8673394,235.806144,279.7526597,116.5356119,149.9924381,216.4738411,290.9711975,303.4972652,0.05441092,0.09044425,0.11365955,0.08115361,0.01819058,0.02210624,0.06844227,0.10857131,0.03997889,0.04172996,0.01920407,0.04623442,0.0536871,0.04518625,0.11395658,0.01490495,0.0246291,0.01376716,0.00881123,0.02093156,198.4816956,8867,60000
GM0158,431,469,287,329,95,169,699,1291,274,30,184,969,1733,719,357,245,845,563,307,513,128.4344423,147.7183913,221.1524443,230.4779144,252.9992038,117.6466964,158.3892901,183.0823025,190.6501596,281.2162808,115.8240059,159.1012825,202.6593754,221.9578574,310.3911796,116.0484635,152.0236246,211.4485763,295.6819956,317.7435051,0.04483559,0.04321097,0.02503133,0.03189697,0.01003709,0.01656096,0.06455352,0.12534977,0.02479554,0.00263292,0.01829831,0.09102024,0.16319692,0.06654476,0.03427213,0.02529762,0.08071841,0.05456866,0.02882429,0.048354,291.9078806,1105,60000
GM0160,1302,1128,438,455,250,735,1161,2877,682,90,978,2258,2572,1208,814,806,1664,1740,1517,2141,103.784617,164.0096221,205.9573723,234.8127355,280.870058,113.6738566,158.3657998,169.9390115,159.7532327,283.7466109,115.1669678,162.2174288,184.2455435,211.1392223,298.2769887,115.437432,154.864441,226.1849302,281.5355966,309.0475643,0.04923382,0.04344243,0.01675387,0.02046094,0.0098768,0.02749015,0.04776661,0.1191859,0.02781689,0.00365454,0.03635142,0.08753916,0.10680997,0.05127066,0.0332734,0.03061679,0.06558546,0.07252052,0.06260911,0.08774156,273.0663805,3508,60000
GM0163,395,1116,447,76,108,169,934,1767,502,116,386,1190,1796,1112,657,405,798,1050,641,1206,119.201354,158.1343545,179.1449945,262.8050079,287.5397838,117.5119631,166.7942829,170.4267301,209.8858177,298.5974373,113.1513372,161.8963401,186.7266904,230.867378,300.8178254,112.3791599,154.3966186,216.1818402,278.0425618,299.6228026,0.02496166,0.07039411,0.02750108,0.00561263,0.0070568,0.01160215,0.0642305,0.1212845,0.03305509,0.00745587,0.02866307,0.08086595,0.12215656,0.07431049,0.043096,0.02899894,0.05395423,0.07094932,0.04334614,0.08050491,211.0534123,1967,60000
GM0164,1639,3400,2986,2965,417,880,2411,4963,1528,1568,603,1724,2995,1866,4287,501,1213,982,392,1420,102.8571937,140.7883383,196.5590248,172.7732733,200.4151252,114.3100267,155.5635221,173.3832997,218.9118849,265.7880694,117.1561288,167.0790691,193.791513,249.3811191,302.5368304,115.3398931,152.307926,211.048995,272.4614634,314.7482458,0.0398909,0.089857,0.07971537,0.07550116,0.01104604,0.0208172,0.06089983,0.12770066,0.03816913,0.0407134,0.01443319,0.04292491,0.07841336,0.04729878,0.11174454,0.01223304,0.03234005,0.02712412,0.01093049,0.03824683,234.7511207,5509,60000
GM0166,978,1035,1459,393,1143,1163,1624,2434,793,2709,1033,1803,1534,603,1177,418,908,556,274,530,106.1609734,153.362671,174.4766106,173.9550428,243.9886741,114.0949681,159.5889264,174.5073815,209.202229,272.2435726,115.1295416,155.0868694,194.2222981,238.8623824,285.7874236,113.9269559,151.3818723,217.492794,279.8716509,292.0976416,0.04747574,0.04587953,0.06432533,0.01872178,0.04628962,0.05271491,0.06838379,0.10394094,0.03938493,0.14136993,0.04661169,0.07528186,0.06458695,0.02756918,0.05356504,0.0171895,0.03762288,0.02040781,0.00969496,0.01898363,263.7393118,2486,60000
GM0168,314,402,377,186,139,231,433,1028,328,60,243,728,1417,654,661,279,926,744,263,371,109.4531467,152.2555743,205.9773551,220.0111844,292.6303933,113.3244001,167.1819851,201.8386676,225.0721535,312.2856816,115.5514187,162.2779231,216.1675352,251.0070428,314.4318722,115.3922294,147.0906223,219.5496021,290.484906,410.5527786,0.02974422,0.04301124,0.03778197,0.02079754,0.01493986,0.02335858,0.04046534,0.10389173,0.03621909,0.00591013,0.02510943,0.07076279,0.14149276,0.0708938,0.06637038,0.02890542,0.09707237,0.07697787,0.02782618,0.0384693,271.5389456,809,60000
GM0171,735,830,693,284,0,404,1391,3315,2134,90,778,1981,1811,1702,65,434,1114,402,1430,33,101.5995412,139.818192,204.5114559,192.7114007,0,108.0592407,164.8016315,176.787353,220.2232093,236.5717521,113.5917074,159.2128767,193.5341155,241.7973322,290.3527925,116.553301,148.5650965,216.7152719,269.845048,327.6380785,0.03705496,0.03976391,0.03128121,0.01377662,0,0.01865767,0.06809741,0.16727308,0.11110034,0.00467977,0.03581109,0.09794314,0.09357694,0.09170336,0.00313612,0.02188226,0.05884191,0.02160255,0.08198168,0.00183598,270.8732084,2515,60000
GM0173,543,782,1254,402,223,366,1081,2437,938,254,298,810,1584,958,667,224,689,408,271,417,118.1087305,181.2343032,201.9367632,217.4628402,222.3810363,109.2653853,162.7089495,190.9007186,197.2523889,263.6662432,112.4928874,165.3805503,205.7618945,221.3852207,311.7496735,120.471875,151.5435961,212.0014454,261.9049272,305.8296783,0.03975288,0.05391835,0.08441665,0.02810277,0.01534246,0.02579957,0.07340975,0.16645794,0.06511098,0.01678885,0.02092969,0.05442568,0.10805717,0.06420251,0.04518011,0.01644295,0.04584472,0.02819257,0.01857501,0.02904939,264.3002976,1597,60000
GM0175,249,427,396,62,104,174,303,713,145,28,285,473,869,310,156,374,584,614,580,661,121.2506366,171.7861853,187.6872795,307.0420969,293.6676737,114.4540462,149.4923698,163.445331,135.4520203,334.1223014,118.7966766,157.5642997,184.7070592,160.2166157,270.1058931,124.5753239,149.9437471,226.9271874,276.5580869,305.1864909,0.03427274,0.05894565,0.05948426,0.00768295,0.01404682,0.02308594,0.03910995,0.09617615,0.01956068,0.00360587,0.0376243,0.06220945,0.11747717,0.04276719,0.02131029,0.05187765,0.07586319,0.07878919,0.07574119,0.08036937,270.2774689,2106,60000
