geo_id,households_final_demand_electricity_households_final_demand_for_cooking_electricity_parent_share,households_final_demand_electricity_households_final_demand_for_cooling_electricity_parent_share,households_final_demand_electricity_households_final_demand_for_hot_water_electricity_parent_share,households_final_demand_electricity_households_final_demand_for_lighting_electricity_parent_share,households_final_demand_electricity_households_final_demand_for_space_heating_electricity_parent_share,households_final_demand_electricity_households_final_demand_for_appliances_electricity_parent_share,households_final_demand_network_gas_households_final_demand_for_cooking_network_gas_parent_share,households_final_demand_network_gas_households_final_demand_for_hot_water_network_gas_parent_share,households_final_demand_network_gas_households_final_demand_for_space_heating_network_gas_parent_share,households_final_demand_network_gas_households_final_demand_for_cooling_network_gas_parent_share,input_households_final_demand_steam_hot_water_households_final_demand_for_hot_water_steam_hot_water_parent_share,input_households_final_demand_steam_hot_water_households_final_demand_for_space_heating_steam_hot_water_parent_share,households_final_demand_for_space_heating_electricity_households_space_heater_electricity_parent_share,households_final_demand_for_space_heating_electricity_households_space_heater_heatpump_air_water_electricity_parent_share,households_final_demand_for_space_heating_electricity_households_space_heater_hybrid_heatpump_air_water_electricity_parent_share,households_final_demand_for_space_heating_electricity_households_space_heater_heatpump_ground_water_electricity_parent_share,households_final_demand_for_space_heating_network_gas_households_space_heater_combined_network_gas_parent_share,households_final_demand_for_space_heating_network_gas_households_space_heater_network_gas_parent_share,households_final_demand_for_space_heating_network_gas_households_space_heater_hybrid_heatpump_air_water_electricity_parent_share,households_final_demand_for_hot_water_network_gas_households_water_heater_combined_network_gas_parent_share,households_final_demand_for_hot_water_network_gas_households_water_heater_network_gas_parent_share,households_final_demand_for_hot_water_network_gas_households_water_heater_hybrid_heatpump_air_water_electricity_parent_share,households_final_demand_for_hot_water_electricity_households_water_heater_resistive_electricity_parent_share,households_final_demand_for_hot_water_electricity_households_water_heater_heatpump_air_water_electricity_parent_share,households_final_demand_for_hot_water_electricity_households_water_heater_hybrid_heatpump_air_water_electricity_parent_share,households_final_demand_for_hot_water_electricity_households_water_heater_heatpump_ground_water_electricity_parent_share
GM0189,0.037167618,0.017699457,0.032338814,0.098531517,0.176496687,0.637765907,0.02398274,0.2816303,0.69438696,0,0.438476899,0.561523101,0.518304995,0.383243045,0.038124202,0.060327758,0.996779566,0,0.003220434,0.992198732,0,0.007801268,0.236506747,0.652366326,0,0.111126927
GM0193,0.037167618,0.017699457,0.032338814,0.098531517,0.176496687,0.637765907,0.02398274,0.2816303,0.69438696,0,0.438476899,0.561523101,0.518304995,0.383243045,0.038124202,0.060327758,0.996779566,0,0.003220434,0.992198732,0,0.007801268,0.236506747,0.652366326,0,0.111126927
GM0197,0.037167618,0.017699457,0.032338814,0.098531517,0.176496687,0.637765907,0.02398274,0.2816303,0.69438696,0,0.438476899,0.561523101,0.518304995,0.383243045,0.038124202,0.060327758,0.996779566,0,0.003220434,0.992198732,0,0.007801268,0.236506747,0.652366326,0,0.111126927
GM0200,0.037167618,0.017699457,0.032338814,0.098531517,0.176496687,0.637765907,0.02398274,0.2816303,0.69438696,0,0.438476899,0.561523101,0.518304995,0.383243045,0.038124202,0.060327758,0.996779566,0,0.003220434,0.992198732,0,0.007801268,0.236506747,0.652366326,0,0.111126927
GM0202,0.037167618,0.017699457,0.032338814,0.098531517,0.176496687,0.637765907,0.02398274,0.2816303,0.69438696,0,0.438476899,0.561523101,0.518304995,0.383243045,0.038124202,0.060327758,0.996779566,0,0.003220434,0.992198732,0,0.007801268,0.236506747,0.652366326,0,0.111126927
GM0203,0.037167618,0.017699457,0.032338814,0.098531517,0.176496687,0.637765907,0.02398274,0.2816303,0.69438696,0,0.438476899,0.561523101,0.518304995,0.383243045,0.038124202,0.060327758,0.996779566,0,0.003220434,0.992198732,0,0.007801268,0.236506747,0.652366326,0,0.111126927
GM0209,0.037167618,0.017699457,0.032338814,0.098531517,0.176496687,0.637765907,0.02398274,0.2816303,0.69438696,0,0.438476899,0.561523101,0.518304995,0.383243045,0.038124202,0.060327758,0.996779566,0,0.003220434,0.992198732,0,0.007801268,0.236506747,0.652366326,0,0.111126927
GM0213,0.037167618,0.017699457,0.032338814,0.098531517,0.176496687,0.637765907,0.02398274,0.2816303,0.69438696,0,0.438476899,0.561523101,0.518304995,0.383243045,0.038124202,0.060327758,0.996779566,0,0.003220434,0.992198732,0,0.007801268,0.236506747,0.652366326,0,0.111126927
GM0214,0.037167618,0.017699457,0.032338814,0.098531517,0.176496687,0.637765907,0.02398274,0.2816303,0.69438696,0,0.438476899,0.561523101,0.518304995,0.383243045,0.038124202,0.060327758,0.996779566,0,0.003220434,0.992198732,0,0.007801268,0.236506747,0.652366326,0,0.111126927
GM0216,0.037167618,0.017699457,0.032338814,0.098531517,0.176496687,0.637765907,0.02398274,0.2816303,0.69438696,0,0.438476899,0.561523101,0.518304995,0.383243045,0.038124202,0.060327758,0.996779566,0,0.003220434,0.992198732,0,0.007801268,0.236506747,0.652366326,0,0.111126927
GM0221,0.037167618,0.017699457,0.032338814,0.098531517,0.176496687,0.637765907,0.02398274,0.2816303,0.69438696,0,0.438476899,0.561523101,0.518304995,0.383243045,0.038124202,0.060327758,0.996779566,0,0.003220434,0.992198732,0,0.007801268,0.236506747,0.652366326,0,0.111126927
GM0222,0.037167618,0.017699457,0.032338814,0.098531517,0.176496687,0.637765907,0.02398274,0.2816303,0.69438696,0,0.438476899,0.561523101,0.518304995,0.383243045,0.038124202,0.060327758,0.996779566,0,0.003220434,0.992198732,0,0.007801268,0.236506747,0.652366326,0,0.111126927
GM0225,0.037167618,0.017699457,0.032338814,0.098531517,0.176496687,0.637765907,0.02398274,0.2816303,0.69438696,0,0.438476899,0.561523101,0.518304995,0.383243045,0.038124202,0.060327758,0.996779566,0,0.003220434,0.992198732,0,0.007801268,0.236506747,0.652366326,0,0.111126927
GM0226,0.037167618,0.017699457,0.032338814,0.098531517,0.176496687,0.637765907,0.02398274,0.2816303,0.69438696,0,0.438476899,0.561523101,0.518304995,0.383243045,0.038124202,0.060327758,0.996779566,0,0.003220434,0.992198732,0,0.007801268,0.236506747,0.652366326,0,0.111126927
GM0228,0.037167618,0.017699457,0.032338814,0.098531517,0.176496687,0.637765907,0.02398274,0.2816303,0.69438696,0,0.438476899,0.561523101,0.518304995,0.383243045,0.038124202,0.060327758,0.996779566,0,0.003220434,0.992198732,0,0.007801268,0.236506747,0.652366326,0,0.111126927
GM0230,0.037167618,0.017699457,0.032338814,0.098531517,0.176496687,0.637765907,0.02398274,0.2816303,0.69438696,0,0.438476899,0.561523101,0.518304995,0.383243045,0.038124202,0.060327758,0.996779566,0,0.003220434,0.992198732,0,0.007801268,0.236506747,0.652366326,0,0.111126927
GM0232,0.037167618,0.017699457,0.032338814,0.098531517,0.176496687,0.637765907,0.02398274,0.2816303,0.69438696,0,0.438476899,0.561523101,0.518304995,0.383243045,0.038124202,0.060327758,0.996779566,0,0.003220434,0.992198732,0,0.007801268,0.236506747,0.652366326,0,0.111126927
GM0233,0.037167618,0.017699457,0.032338814,0.098531517,0.176496687,0.637765907,0.02398274,0.2816303,0.69438696,0,0.438476899,0.561523101,0.518304995,0.383243045,0.038124202,0.060327758,0.996779566,0,0.003220434,0.992198732,0,0.007801268,0.236506747,0.652366326,0,0.111126927
GM0243,0.037167618,0.017699457,0.032338814,0.098531517,0.176496687,0.637765907,0.02398274,0.2816303,0.69438696,0,0.438476899,0.561523101,0.518304995,0.383243045,0.038124202,0.060327758,0.996779566,0,0.003220434,0.992198732,0,0.007801268,0.236506747,0.652366326,0,0.111126927
