geo_id,area_per_building_residence_equivalent
GM0246,130.0
GM0074,130.0
GM0917,130.0
GM1658,130.0
GM0399,130.0
GM0163,130.0
GM0794,130.0
GM0531,130.0
GM0164,130.0
GM1966,130.0
GM0252,130.0
GM0797,130.0
GM0534,130.0
GM0798,130.0
GM0402,130.0
GM1963,130.0
GM1735,130.0
GM1911,130.0
GM0118,130.0
GM0405,130.0
GM1507,130.0
GM0321,130.0
GM0406,130.0
GM0677,130.0
GM0353,130.0
GM1884,130.0
GM0166,130.0
GM0678,130.0
GM0537,130.0
GM0928,130.0
GM1598,130.0
GM0542,130.0
GM1931,130.0
GM1659,130.0
GM0882,130.0
GM0415,130.0
GM1621,130.0
GM0417,130.0
GM0080,130.0
GM0546,130.0
GM0547,130.0
GM1916,130.0
GM0995,130.0
GM1640,130.0
GM0327,130.0
GM1705,130.0
GM0553,130.0
GM0262,130.0
GM0809,130.0
GM0331,130.0
GM0168,130.0
GM0263,130.0
GM1641,130.0
GM0556,130.0
GM0935,130.0
GM0420,130.0
GM0938,130.0
GM1948,130.0
GM0119,130.0
GM0687,130.0
GM1842,130.0
GM1731,130.0
GM1952,130.0
GM1709,130.0
GM1978,130.0
GM1955,130.0
GM0335,130.0
GM0944,130.0
GM1740,130.0
GM0946,130.0
GM0356,130.0
GM0569,130.0
GM0267,130.0
GM0268,130.0
GM1930,130.0
GM1970,130.0
GM1695,130.0
GM1699,130.0
GM0171,130.0
GM0575,130.0
GM0820,130.0
GM0302,130.0
GM0579,130.0
GM0823,130.0
GM0824,130.0
GM1895,130.0
GM0269,130.0
GM0173,130.0
GM1773,130.0
GM0175,130.0
GM1586,130.0
GM0826,130.0
GM0085,130.0
GM0431,130.0
GM0432,130.0
GM0086,130.0
GM0828,130.0
GM1509,130.0
GM0437,130.0
GM0589,130.0
GM1734,130.0
GM0590,130.0
GM1894,130.0
GM0765,130.0
GM1926,130.0
GM0439,130.0
GM0273,130.0
GM0177,130.0
GM0703,130.0
GM0274,130.0
GM0339,130.0
GM1667,130.0
GM0275,130.0
GM0340,130.0
GM0597,130.0
GM1742,130.0
GM0603,130.0
GM1669,130.0
GM0957,130.0
GM1674,130.0
GM0599,130.0
GM0277,130.0
GM0840,130.0
GM0441,130.0
GM0279,130.0
GM0606,130.0
GM0088,130.0
GM1676,130.0
GM0965,130.0
GM0845,130.0
GM1883,130.0
GM0610,130.0
GM1714,130.0
GM0090,130.0
GM0342,130.0
GM0847,130.0
GM0848,130.0
GM0037,130.0
GM0180,130.0
GM0532,130.0
GM0851,130.0
GM1708,130.0
GM0971,130.0
GM1904,130.0
GM1900,130.0
GM0715,130.0
GM0093,130.0
GM0448,130.0
GM1525,130.0
GM0716,130.0
GM0281,130.0
GM0855,130.0
GM0183,130.0
GM1700,130.0
GM1730,130.0
GM0737,130.0
GM0450,130.0
GM0451,130.0
GM0184,130.0
GM0344,130.0
GM1581,130.0
GM0981,130.0
GM0994,130.0
GM0858,130.0
GM0047,130.0
GM0345,130.0
GM0717,130.0
GM0861,130.0
GM0453,130.0
GM0983,130.0
GM0984,130.0
GM1961,130.0
GM0622,130.0
GM0096,130.0
GM0718,130.0
GM0986,130.0
GM0626,130.0
GM0285,130.0
GM0865,130.0
GM1949,130.0
GM0866,130.0
GM0867,130.0
GM0627,130.0
GM0289,130.0
GM0629,130.0
GM0852,130.0
GM0988,130.0
GM1960,130.0
GM0668,130.0
GM1969,130.0
GM1701,130.0
GM0293,130.0
GM1950,130.0
GM1783,130.0
GM0098,130.0
GM0189,130.0
GM0296,130.0
GM1696,130.0
GM0352,130.0
GM0294,130.0
GM0873,130.0
GM0632,130.0
GM0880,130.0
GM0351,130.0
GM0479,130.0
GM0297,130.0
GM0473,130.0
GM0050,130.0
GM0355,130.0
GM0299,130.0
GM0637,130.0
GM0638,130.0
GM1892,130.0
GM0879,130.0
GM0301,130.0
GM1896,130.0
GM0642,130.0
GM0193,130.0
