geo_id,bunkers_total_useful_demand_ships_demand,bunkers_total_useful_demand_planes_demand
GM0534,491955.99,166290.19
GM0798,491955.99,166290.19
GM0402,491955.99,166290.19
GM1963,491955.99,166290.19
GM1735,491955.99,166290.19
GM1966,491955.99,166290.19
GM1911,491955.99,166290.19
GM0118,491955.99,166290.19
GM0405,491955.99,166290.19
GM1507,491955.99,166290.19
GM0321,491955.99,166290.19
GM0406,491955.99,166290.19
GM0677,491955.99,166290.19
GM0353,491955.99,166290.19
GM1884,491955.99,166290.19
GM0166,491955.99,166290.19
GM0678,491955.99,166290.19
GM0537,491955.99,166290.19
GM0928,491955.99,166290.19
GM1598,491955.99,166290.19
GM0542,491955.99,166290.19
GM1931,491955.99,166290.19
GM1659,491955.99,166290.19
GM1685,491955.99,166290.19
GM0882,491955.99,166290.19
GM0415,491955.99,166290.19
GM0416,491955.99,166290.19
GM1621,491955.99,166290.19
GM0417,491955.99,166290.19
GM0080,491955.99,166290.19
GM0546,491955.99,166290.19
GM0547,491955.99,166290.19
GM1916,491955.99,166290.19
GM0995,491955.99,166290.19
GM1640,491955.99,166290.19
GM0327,491955.99,166290.19
GM1705,491955.99,166290.19
GM0553,491955.99,166290.19
GM0262,491955.99,166290.19
GM0809,491955.99,166290.19
GM0331,491955.99,166290.19
GM0168,491955.99,166290.19
GM0263,491955.99,166290.19
GM1641,491955.99,166290.19
GM0556,491955.99,166290.19
GM0935,491955.99,166290.19
GM0420,491955.99,166290.19
GM0938,491955.99,166290.19
GM1948,491955.99,166290.19
GM0119,491955.99,166290.19
GM0687,491955.99,166290.19
GM1842,491955.99,166290.19
GM1731,491955.99,166290.19
GM1952,491955.99,166290.19
GM0815,491955.99,166290.19
GM1709,491955.99,166290.19
GM1978,491955.99,166290.19
GM1955,491955.99,166290.19
GM0335,491955.99,166290.19
GM0944,491955.99,166290.19
GM1740,491955.99,166290.19
GM0946,491955.99,166290.19
GM0356,491955.99,166290.19
GM0569,491955.99,166290.19
GM0267,491955.99,166290.19
GM0268,491955.99,166290.19
GM1930,491955.99,166290.19
GM1970,491955.99,166290.19
GM1695,491955.99,166290.19
GM1699,491955.99,166290.19
GM0171,491955.99,166290.19
GM0575,491955.99,166290.19
GM0820,491955.99,166290.19
GM0302,491955.99,166290.19
GM0579,491955.99,166290.19
GM0823,491955.99,166290.19
GM0824,491955.99,166290.19
GM1895,491955.99,166290.19
GM0269,491955.99,166290.19
GM0173,491955.99,166290.19
GM1773,491955.99,166290.19
GM0175,491955.99,166290.19
GM1586,491955.99,166290.19
GM0826,491955.99,166290.19
GM0085,491955.99,166290.19
GM0431,491955.99,166290.19
GM0432,491955.99,166290.19
GM0086,491955.99,166290.19
GM0828,491955.99,166290.19
GM1509,491955.99,166290.19
GM0437,491955.99,166290.19
GM0589,491955.99,166290.19
GM1734,491955.99,166290.19
GM0590,491955.99,166290.19
GM1894,491955.99,166290.19
GM0765,491955.99,166290.19
GM1926,491955.99,166290.19
GM0439,491955.99,166290.19
GM0273,491955.99,166290.19
GM0177,491955.99,166290.19
GM0703,491955.99,166290.19
GM0274,491955.99,166290.19
GM0339,491955.99,166290.19
GM1667,491955.99,166290.19
GM0275,491955.99,166290.19
GM0340,491955.99,166290.19
GM0597,491955.99,166290.19
GM1742,491955.99,166290.19
GM0603,491955.99,166290.19
GM1669,491955.99,166290.19
GM0957,491955.99,166290.19
GM0736,491955.99,166290.19
GM1674,491955.99,166290.19
GM0599,491955.99,166290.19
GM0277,491955.99,166290.19
GM0840,491955.99,166290.19
GM0441,491955.99,166290.19
GM0279,491955.99,166290.19
GM0606,491955.99,166290.19
GM0088,491955.99,166290.19
GM1676,491955.99,166290.19
GM0965,491955.99,166290.19
GM1702,491955.99,166290.19
GM0845,491955.99,166290.19
GM1883,491955.99,166290.19
GM0610,491955.99,166290.19
GM1714,491955.99,166290.19
GM0090,491955.99,166290.19
GM0342,491955.99,166290.19
GM0847,491955.99,166290.19
GM0848,491955.99,166290.19
GM0037,491955.99,166290.19
GM0180,491955.99,166290.19
GM0532,491955.99,166290.19
GM0851,491955.99,166290.19
GM1708,491955.99,166290.19
GM0971,491955.99,166290.19
GM1904,491955.99,166290.19
GM1900,491955.99,166290.19
GM0715,491955.99,166290.19
GM0093,491955.99,166290.19
GM0448,491955.99,166290.19
GM1525,491955.99,166290.19
GM0716,491955.99,166290.19
GM0281,491955.99,166290.19
GM0855,491955.99,166290.19
GM0183,491955.99,166290.19
GM1700,491955.99,166290.19
GM1730,491955.99,166290.19
GM0737,491955.99,166290.19
GM0856,491955.99,166290.19
GM0450,491955.99,166290.19
GM0451,491955.99,166290.19
GM0184,491955.99,166290.19
GM0344,491955.99,166290.19
GM1581,491955.99,166290.19
GM0981,491955.99,166290.19
GM0994,491955.99,166290.19
GM0858,491955.99,166290.19
GM0047,491955.99,166290.19
GM0345,491955.99,166290.19
GM0717,491955.99,166290.19
GM0861,491955.99,166290.19
GM0453,491955.99,166290.19
GM0983,491955.99,166290.19
GM0984,491955.99,166290.19
GM1961,491955.99,166290.19
GM0622,491955.99,166290.19
GM0096,491955.99,166290.19
GM0718,491955.99,166290.19
GM0986,491955.99,166290.19
GM0626,491955.99,166290.19
GM0285,491955.99,166290.19
GM0865,491955.99,166290.19
GM1949,491955.99,166290.19
GM0866,491955.99,166290.19
GM0867,491955.99,166290.19
GM0627,491955.99,166290.19
GM0289,491955.99,166290.19
GM0629,491955.99,166290.19
GM0852,491955.99,166290.19
GM0988,491955.99,166290.19
GM0457,491955.99,166290.19
GM1960,491955.99,166290.19
GM0668,491955.99,166290.19
GM1969,491955.99,166290.19
GM1701,491955.99,166290.19
GM0293,491955.99,166290.19
GM1950,491955.99,166290.19
GM1783,491955.99,166290.19
GM0098,491955.99,166290.19
GM0614,491955.99,166290.19
GM0189,491955.99,166290.19
GM0296,491955.99,166290.19
GM1696,491955.99,166290.19
GM0352,491955.99,166290.19
GM0294,491955.99,166290.19
GM0873,491955.99,166290.19
GM0632,491955.99,166290.19
GM1690,491955.99,166290.19
GM0880,491955.99,166290.19
GM0351,491955.99,166290.19
GM0479,491955.99,166290.19
GM0297,491955.99,166290.19
GM0473,491955.99,166290.19
GM0050,491955.99,166290.19
GM0355,491955.99,166290.19
GM0299,491955.99,166290.19
GM0637,491955.99,166290.19
GM0638,491955.99,166290.19
GM1892,491955.99,166290.19
GM0879,491955.99,166290.19
GM0301,491955.99,166290.19
GM1896,491955.99,166290.19
GM0642,491955.99,166290.19
GM0193,491955.99,166290.19
PV20,491955.99,166290.19
PV21,491955.99,166290.19
PV22,491955.99,166290.19
PV23,491955.99,166290.19
PV24,491955.99,166290.19
PV25,491955.99,166290.19
PV26,491955.99,166290.19
PV27,491955.99,166290.19
PV28,491955.99,166290.19
PV29,491955.99,166290.19
PV30,491955.99,166290.19
PV31,491955.99,166290.19
RES01,491955.99,166290.19
RES02,491955.99,166290.19
RES03,491955.99,166290.19
RES04,491955.99,166290.19
RES05,491955.99,166290.19
RES06,491955.99,166290.19
RES07,491955.99,166290.19
RES08,491955.99,166290.19
RES09,491955.99,166290.19
RES10,491955.99,166290.19
RES11,491955.99,166290.19
RES12,491955.99,166290.19
RES13,491955.99,166290.19
RES14,491955.99,166290.19
RES16,491955.99,166290.19
RES17,491955.99,166290.19
RES18,491955.99,166290.19
RES19,491955.99,166290.19
RES20,491955.99,166290.19
RES21,491955.99,166290.19
RES22,491955.99,166290.19
RES23,491955.99,166290.19
RES24,491955.99,166290.19
RES25,491955.99,166290.19
RES26,491955.99,166290.19
RES27,491955.99,166290.19
RES28,491955.99,166290.19
RES29,491955.99,166290.19
RES30,491955.99,166290.19
RES31,491955.99,166290.19
RGAMS01,491955.99,166290.19
RGBRE01,491955.99,166290.19
RGGD01,491955.99,166290.19
RGGLD01,491955.99,166290.19
RGHLD01,491955.99,166290.19
RGNB01,491955.99,166290.19
RGNH01,491955.99,166290.19
RGNH02,491955.99,166290.19
RGNH03,491955.99,166290.19
RGNH04,491955.99,166290.19
RGNH05,491955.99,166290.19
RGNH06,491955.99,166290.19
RGNH07,491955.99,166290.19
RGNH08,491955.99,166290.19
RGPA01,491955.99,166290.19
