geo_id,input_solar_pv_on_roof_households_full_load_hours,input_solar_pv_on_roof_buildings_full_load_hours,input_solar_pv_on_land_full_load_hours,input_solar_csp_full_load_hours
GM0405,900,900,950,950
GM0406,900,900,950,950
GM0415,900,900,950,950
GM0417,900,900,950,950
GM0420,900,900,950,950
GM0431,900,900,950,950
GM0432,900,900,950,950
GM0437,900,900,950,950
GM0439,900,900,950,950
GM0441,900,900,950,950
GM0448,900,900,950,950
GM0450,900,900,950,950
GM0451,900,900,950,950
GM0453,900,900,950,950
GM0473,900,900,950,950
GM0479,900,900,950,950
GM0482,900,900,950,950
GM0484,900,900,950,950
GM0489,900,900,950,950
GM0498,900,900,950,950
GM0502,900,900,950,950
GM0503,900,900,950,950
GM0505,900,900,950,950
GM0512,900,900,950,950
GM0513,900,900,950,950
GM0518,900,900,950,950
GM0523,900,900,950,950
GM0531,900,900,950,950
GM0532,900,900,950,950
GM0534,900,900,950,950
GM0537,900,900,950,950
GM0542,900,900,950,950
GM0546,900,900,950,950
GM0547,900,900,950,950
GM0553,900,900,950,950
GM0556,900,900,950,950
GM0569,900,900,950,950
GM0575,900,900,950,950
GM0579,900,900,950,950
GM0589,900,900,950,950
GM0590,900,900,950,950
GM0597,900,900,950,950
GM0599,900,900,950,950
GM0603,900,900,950,950
GM0606,900,900,950,950
GM0610,900,900,950,950
GM0613,900,900,950,950
GM0622,900,900,950,950
GM0626,900,900,950,950
GM0627,900,900,950,950
GM0629,900,900,950,950
GM0632,900,900,950,950
GM0637,900,900,950,950
GM0638,900,900,950,950
GM0642,900,900,950,950
GM0654,900,900,950,950
GM0664,900,900,950,950
GM0668,900,900,950,950
GM0677,900,900,950,950
GM0678,900,900,950,950
GM0687,900,900,950,950
GM0703,900,900,950,950
GM0715,900,900,950,950
GM0716,900,900,950,950
GM0717,900,900,950,950
GM0718,900,900,950,950
GM0736,900,900,950,950
GM0737,900,900,950,950
GM0743,900,900,950,950
GM0744,900,900,950,950
GM0748,900,900,950,950
GM0753,900,900,950,950
GM0755,900,900,950,950
GM0757,900,900,950,950
GM0758,900,900,950,950
GM0762,900,900,950,950
GM0765,900,900,950,950
GM0766,900,900,950,950
GM0770,900,900,950,950
GM0772,900,900,950,950
GM0777,900,900,950,950
GM0779,900,900,950,950
GM0784,900,900,950,950
GM0785,900,900,950,950
GM0794,900,900,950,950
GM0796,900,900,950,950
GM0797,900,900,950,950
GM0798,900,900,950,950
GM0809,900,900,950,950
GM0820,900,900,950,950
GM0823,900,900,950,950
GM0824,900,900,950,950
GM0826,900,900,950,950
GM0828,900,900,950,950
GM0840,900,900,950,950
GM0845,900,900,950,950
GM0847,900,900,950,950
GM0848,900,900,950,950
GM0851,900,900,950,950
GM0852,900,900,950,950
GM0855,900,900,950,950
GM0858,900,900,950,950
GM0861,900,900,950,950
GM0865,900,900,950,950
GM0866,900,900,950,950
GM0867,900,900,950,950
GM0873,900,900,950,950
GM0879,900,900,950,950
GM0880,900,900,950,950
GM0882,900,900,950,950
GM0888,900,900,950,950
GM0889,900,900,950,950
GM0893,900,900,950,950
GM0899,900,900,950,950
GM0907,900,900,950,950
GM0917,900,900,950,950
GM0928,900,900,950,950
GM0935,900,900,950,950
GM0938,900,900,950,950
GM0944,900,900,950,950
GM0946,900,900,950,950
GM0957,900,900,950,950
GM0965,900,900,950,950
GM0971,900,900,950,950
GM0981,900,900,950,950
GM0983,900,900,950,950
GM0984,900,900,950,950
GM0986,900,900,950,950
GM0988,900,900,950,950
GM0994,900,900,950,950
GM0995,900,900,950,950
GM1507,900,900,950,950
GM1509,900,900,950,950
GM1525,900,900,950,950
GM1581,900,900,950,950
GM1586,900,900,950,950
GM1598,900,900,950,950
GM1621,900,900,950,950
GM1640,900,900,950,950
GM1641,900,900,950,950
GM1652,900,900,950,950
GM1655,900,900,950,950
GM1658,900,900,950,950
GM1659,900,900,950,950
GM1667,900,900,950,950
GM1669,900,900,950,950
GM1674,900,900,950,950
GM1676,900,900,950,950
GM1680,900,900,950,950
GM1681,900,900,950,950
GM1690,900,900,950,950
GM1695,900,900,950,950
GM1696,900,900,950,950
GM1699,900,900,950,950
GM1700,900,900,950,950
GM1701,900,900,950,950
GM1705,900,900,950,950
GM1706,900,900,950,950
GM1708,900,900,950,950
GM1709,900,900,950,950
GM1711,900,900,950,950
GM1714,900,900,950,950
GM1719,900,900,950,950
GM1721,900,900,950,950
GM1723,900,900,950,950
GM1724,900,900,950,950
GM1728,900,900,950,950
GM1729,900,900,950,950
GM1730,900,900,950,950
GM1731,900,900,950,950
GM1734,900,900,950,950
GM1735,900,900,950,950
GM1740,900,900,950,950
GM1742,900,900,950,950
GM1771,900,900,950,950
GM1773,900,900,950,950
GM1774,900,900,950,950
GM1783,900,900,950,950
GM1842,900,900,950,950
GM1859,900,900,950,950
GM1876,900,900,950,950
GM1883,900,900,950,950
GM1884,900,900,950,950
GM1891,900,900,950,950
GM1892,900,900,950,950
GM1894,900,900,950,950
GM1895,900,900,950,950
GM1896,900,900,950,950
GM1900,900,900,950,950
GM1901,900,900,950,950
GM1903,900,900,950,950
GM1904,900,900,950,950
GM1911,900,900,950,950
GM1916,900,900,950,950
GM1924,900,900,950,950
GM1926,900,900,950,950
GM1930,900,900,950,950
GM1931,900,900,950,950
GM1940,900,900,950,950
GM1942,900,900,950,950
GM1945,900,900,950,950
GM1948,900,900,950,950
GM1949,900,900,950,950
GM1950,900,900,950,950
GM1952,900,900,950,950
GM1954,900,900,950,950
GM1955,900,900,950,950
GM1959,900,900,950,950
GM1960,900,900,950,950
GM1961,900,900,950,950
GM1963,900,900,950,950
GM1966,900,900,950,950
GM1969,900,900,950,950
GM1970,900,900,950,950
GM1978,900,900,950,950
GM1979,900,900,950,950
GM1980,900,900,950,950
GM1982,900,900,950,950
GM1991,900,900,950,950
GM1992,900,900,950,950
ES01,900,900,950,950
ES02,900,900,950,950
ES03,900,900,950,950
ES04,900,900,950,950
ES05,900,900,950,950
ES06,900,900,950,950
ES07,900,900,950,950
ES08,900,900,950,950
ES09,900,900,950,950
ES10,900,900,950,950
ES11,900,900,950,950
ES12,900,900,950,950
ES13,900,900,950,950
ES14,900,900,950,950
ES15,900,900,950,950
ES16,900,900,950,950
ES17,900,900,950,950
ES18,900,900,950,950
ES19,900,900,950,950
ES20,900,900,950,950
ES21,900,900,950,950
ES22,900,900,950,950
ES23,900,900,950,950
ES24,900,900,950,950
ES25,900,900,950,950
ES26,900,900,950,950
ES27,900,900,950,950
ES28,900,900,950,950
ES29,900,900,950,950
ES30,900,900,950,950
PV20,900,900,950,950
PV21,900,900,950,950
PV22,900,900,950,950
PV23,900,900,950,950
PV24,900,900,950,950
PV25,900,900,950,950
PV26,900,900,950,950
PV27,900,900,950,950
PV28,900,900,950,950
PV29,900,900,950,950
PV30,900,900,950,950
PV31,900,900,950,950
PV27_2022,867,867,867,867
