geo_id,lv_net_total_costs_present,mv_net_total_costs_present,hv_net_total_costs_present,lv_mv_trafo_total_costs_present,mv_hv_trafo_total_costs_present,households_final_demand_electricity_demand,input_buildings_electricity_demand,buildings_final_demand_network_gas_demand,agriculture_final_demand_electricity_demand,agriculture_final_demand_network_gas_demand,input_energy_chp_local_engine_network_gas_production,agriculture_final_demand_steam_hot_water_demand,input_industry_ict_electricity_demand,input_industry_chemical_other_electricity_demand,input_industry_food_electricity_demand,input_industry_metal_other_electricity_demand,input_industry_paper_electricity_demand,input_industry_other_electricity_demand,input_industry_chemical_other_network_gas_demand,input_industry_food_network_gas_demand,input_industry_metal_other_network_gas_demand,input_industry_paper_network_gas_demand,input_industry_other_network_gas_demand,energy_power_sector_own_use_electricity_demand,energy_power_hv_network_loss_demand,energy_distribution_greengas_demand
GM0417,391129.9346,336127.2875,197520.617,139340.0392,117338.9804,66.16593619,78.34413486,126.2835,3.7476,2.7852,0,0,5.6664,0.4602816,0,0,0,14.2141184,0.8031504,0,0,0,8.1281496,0,10.58203257,3.169449246
GM0420,2376689.544,2042467.577,1200228.22,846695.65,713006.8631,203.2449981,282.4515874,241.173,1235.95354,4.5268995,903.5691402,1690.461425,9.3924,1.1561616,44.0392464,0,0,149.699392,3.4418109,131.1017061,0,0,47.950383,5.058,64.30140969,22.45237846
GM0431,278392.4829,239243.54,140588.2039,99177.32202,83517.74486,44.84413862,50.50929825,43.63275,0.8388,1.3926,0,0,1.1628,0.39168,8.71488,0,0,12.40024,0.865311,19.25316975,0,0,24.85616925,1.0152,7.531917302,1.698824796
GM0432,416438.3421,357876.7003,210301.3628,148356.1594,124931.5026,51.91707837,62.82833816,58.1094,39.57699198,2.59837005,18.57099198,23.21373998,1.6848,4.303368,10.164852,0,0,27.74098,3.8439558,9.0796887,0,0,28.9411055,0,11.26675233,2.31369795
GM0437,1003133.244,862067.6316,506582.2883,357366.2182,300939.9732,61.97587022,90.37099312,189.0771,4.57386516,0.1384371,0.62826516,0.78533145,87.4404,0.1919988,6.2753292,0,0.0606312,19.0504408,0.74386995,24.31280205,0,0.2349063,26.9222217,0,27.13980119,3.169449246
GM0439,1732475.534,1488846.162,874900.1446,617194.409,519742.6601,350.557186,287.5383523,156.4143,1.40334345,0.230016375,0.00294345,0.003679313,14.2704,6.68646,13.70448,0,0.38682,37.98744,3.599871,7.378248,0,0.208257,6.161949,3.78,46.87217957,3.663883329
GM0441,2245545.978,1929766.074,1134000.719,799975.7545,673663.7932,208.5388048,322.7001501,362.3292,329.516221,17.6842476,107.018221,133.7727762,9.7704,2.4683796,124.4353716,0,0.4355964,66.6430524,2.055351,103.613871,0,0.362709,38.956719,1.5408,60.75331642,10.66836616
GM0532,690229.2964,593165.8015,348565.7947,245894.1868,207068.7889,94.10605407,81.0130846,130.42605,160.9978014,1.5891465,62.9302014,78.66275175,2.4156,1.3708476,9.3696768,0,0,5.9898756,0.3716343,2.5401024,0,0,4.7475633,0,18.67417513,4.335806569
GM0448,635010.9527,545712.5374,320680.5311,226222.6519,190503.2858,65.63337206,168.7126576,309.6636,21.60315414,11.52126465,0.34155414,0.426942675,6.1668,0.2797704,4.025268,0,0,6.0917616,0.62034,8.9253,0,0,105.3751175,0.216,17.18024112,4.703206004
GM0450,352016.9411,302514.5588,177768.5553,125406.0353,105605.0823,58.13282986,67.20939235,42.5376,3.5052054,3.0007365,0.0024054,0.00300675,1.8684,1.1952288,2.6638344,0,0,6.0841368,1.219791,2.71857675,0,0,7.51728225,0,9.523829316,1.819263867
GM0451,1348247.892,1158650.532,680865.1856,480313.3116,404474.3677,127.8865209,193.5416308,116.0289,1004.321424,2.074515075,828.976224,1036.22028,5.6664,59.0508684,3.8292372,0,1.6123104,14.040784,112.9784414,7.32624705,0,3.0847356,444.8870702,1.71,36.47688875,20.72706004
GM0453,27169725.87,23348983.17,13720711.56,9679214.841,8150917.761,281.6568113,217.7970344,441.19467,18.4603575,0.19385625,2.1379575,2.672446875,11.3868,40.78304517,86.09753981,0,4268.625395,161.6174839,61.99794009,130.8845402,0,6489.117729,225.4915503,0,735.0777803,99.87682268
GM0852,372723.82,320309.5328,188225.5291,132782.8609,111817.146,75.81595442,50.72117129,81.5304,9.8784,7.596,0,0,2.9016,0.2428272,6.7904892,0,0,13.9186836,0.3562524,9.9623439,0,0,6.5550037,0.0504,10.08405457,2.808132032
GM0457,973223.3079,836363.7802,491477.7705,346710.8034,291966.9924,79.47699909,103.2484314,125.2707,4.32138318,0.02459205,0.45858318,0.573228975,7.8588,131.265414,29.0165652,0,0.1973916,44.6882292,164.505306,36.3643308,0,0.2473764,49.4412368,0.3636,26.33058693,4.45624564
GM1696,609702.5451,523963.1247,307899.7853,217206.5317,182910.7635,119.1002313,100.8751039,166.19415,12.0843804,6.553449,3.4047804,4.2559755,5.022,0.4684248,5.1962472,0,0,23.488128,0.6396465,7.0956135,0,0,18.59754,0.8532,16.49552136,4.728818275
GM0880,924907.2571,794842.1741,467078.1649,329498.2104,277472.1771,70.09421915,42.25237928,55.48245,12.83028192,0.6800952,3.17148192,3.9643524,9.882,1.0673856,238.827528,0,12.8086272,16.6916592,1.3494294,301.9348283,0,16.1931528,21.43133955,0,25.02339467,4.392856655
GM0479,5758813.096,4948980.004,2908200.614,2051577.166,1727643.929,607.6717881,726.1707144,817.29795,53.48517546,19.41471135,27.69477546,34.61846933,25.6032,178.6171392,663.5722752,0,7.6824576,167.779728,629.5980681,2338.990672,0,27.0794868,435.3821728,2.9844,155.8048678,43.69402731
GM0473,473957.4502,407307.1837,239348.5123,168847.3416,142187.235,91.35098668,91.40739566,154.1355,0.8748,0.3165,0,0,2.7,0.2550528,1.056078,0,0,3.7620692,0.4982976,2.0632635,0,0,1.3946889,1.0512,12.82293359,3.543444257
