geo_id,energy_production_dry_biomass_max_demand,energy_production_oily_biomass_max_demand,energy_production_wet_biomass_max_demand
GM0569,93.25816,17.39331,343.26323
GM0575,70.54017,15.90235,50.30852
GM0579,63.0539,14.84033,47.29018
GM0589,43.9577,6.19775,113.55084
GM0590,85.3706,19.6182,57.02448
GM0597,128.02739,28.09431,86.95424
GM0599,1683.70638,391.64594,1615.94996
GM0603,147.76885,32.48456,95.1469
GM0606,203.3231,47.38929,144.2605
GM0610,64.74627,15.20487,48.05976
GM0613,74.12805,15.35372,68.67488
GM0622,189.26485,43.98998,136.84517
GM0626,68.85312,15.48009,50.51136
GM0627,84.19383,17.20375,80.3496
GM0629,82.74909,15.92483,84.60386
GM0632,154.44704,31.71296,279.89884
GM0637,335.46461,75.91133,239.16678
GM0638,26.88989,5.13391,58.92854
GM0642,119.01016,27.121,88.15387
GM0654,125.98423,13.85243,412.07775
GM0664,147.21124,22.87656,285.47479
GM0668,86.25189,11.58987,194.35015
GM0677,169.7959,16.72256,788.60925
GM0678,48.71986,7.76769,111.27202
GM0687,144.18573,29.49353,1377.16468
GM0703,110.35921,13.77831,395.43225
GM0715,266.24499,33.16625,719.33651
GM0716,134.15436,15.66297,512.0798
GM0717,135.38228,13.26614,2639.84725
GM0718,122.08288,26.95817,1308.35231
GM0736,137.31831,26.76861,397.28239
GM0737,146.33984,19.30835,461.83972
GM0743,152.38123,10.15238,241.76477
GM0744,67.3459,4.15998,209.567
GM0748,197.32358,40.59188,393.53224
GM0753,126.49778,18.11813,109.65477
GM0755,63.33284,6.43288,145.1645
GM0757,103.61127,18.68074,175.56674
GM0758,494.6442,111.7144,442.13681
GM0762,183.48219,19.66195,429.56409
GM0765,50.24792,7.42077,94.46957
GM0766,73.51121,15.82762,120.90088
GM0770,148.80486,11.61053,244.05061
GM0772,614.95074,140.73707,402.68014
GM0777,126.62268,26.59546,169.81044
GM0779,86.89073,13.07171,116.46328
GM0784,119.89637,16.05849,163.31213
GM0785,90.16234,14.45574,112.69965
GM0794,252.59017,55.60658,198.09099
GM0796,426.96321,93.68923,472.2776
GM0797,147.77562,26.81479,181.27586
GM0798,103.62709,9.31637,318.38281
GM0809,90.5964,14.17262,94.35675
GM0820,54.7486,14.08695,34.90881
GM0823,150.18926,11.31464,241.04542
GM0824,107.23495,15.88169,186.22421
GM0826,174.94745,33.79022,202.38745
GM0828,309.45536,55.56223,519.90826
GM0840,79.7905,13.71391,152.02212
GM0845,95.09537,17.61385,156.1026
GM0847,261.75994,11.73933,239.66065
GM0848,79.45524,10.27024,55.41054
GM0851,128.46893,15.22188,541.88152
GM0852,54.28224,10.51995,140.70625
GM0855,590.96138,131.9985,455.8517
GM0858,101.72704,18.77977,144.83506
GM0861,126.05691,27.54508,100.34471
GM0865,78.1498,16.03723,76.72848
GM0866,53.05344,10.47864,51.59436
GM0867,135.02193,29.30883,164.09669
GM0873,105.1135,13.28497,210.72492
GM0879,131.17103,13.13065,237.90987
GM0880,48.54853,9.92089,144.83361
GM0882,106.60109,22.8389,70.35742
GM0888,45.22914,9.67787,46.39481
GM0889,43.79633,8.21364,64.24533
GM0893,78.75026,7.98338,198.58003
GM0899,75.99474,17.07434,49.6528
GM0907,81.32686,10.37171,109.80504
GM0917,258.562,52.7559,160.56318
GM0928,127.46663,27.73038,84.24753
GM0935,327.02722,73.85838,237.45616
GM0938,57.88807,11.49691,53.62492
GM0944,27.25644,4.74264,36.98553
GM0946,291.2392,10.32918,355.90942
GM0957,171.42717,35.36563,210.77809
GM0965,33.822,6.38913,41.47482
GM0971,73.69621,15.16538,65.9004
GM0981,36.26349,6.13152,40.09553
GM0983,312.3604,61.73021,279.80275
GM0984,429.71294,26.32327,592.95909
GM0986,44.66805,7.56537,61.08554
GM0988,289.10328,30.28215,254.18874
GM0994,58.2146,10.00656,71.67374
GM0995,328.68984,47.32489,1191.20353
GM1507,250.39073,25.69444,441.79165
GM1509,159.965,23.98233,313.58553
GM1525,96.41393,22.51689,131.91567
GM1581,217.77593,30.08347,239.0023
GM1586,175.64812,18.04705,331.99944
GM1598,76.28479,13.81476,234.31267
GM1621,164.05134,37.42648,157.11357
GM1640,350.58682,21.67845,516.29013
GM1641,77.31844,14.40896,181.61855
GM1652,202.65416,18.49847,407.99698
GM1655,104.1878,18.34475,247.41752
GM1658,127.96684,9.69913,206.42522
GM1659,101.9427,13.5687,170.67015
GM1667,103.06991,7.93477,358.05282
GM1669,98.58504,12.52491,158.04927
GM1674,241.01195,46.80178,332.23034
GM1676,164.80222,20.52287,670.23351
GM1680,206.60893,15.42359,395.37229
GM1681,266.3122,15.41508,386.89829
GM1690,223.27198,14.64834,391.07083
GM1695,64.00591,4.44007,1404.0882
GM1696,75.97844,14.58941,367.44297
GM1699,163.51001,19.01064,468.82186
GM1700,147.45293,20.53076,264.90519
GM1701,165.1069,11.75513,459.35418
GM1705,138.20311,28.23648,148.30268
GM1706,86.12377,12.41858,160.82888
GM1708,211.28604,26.69631,1279.91938
GM1709,187.39202,22.45613,516.41385
GM1711,132.40936,19.22207,238.13623
GM1714,228.28177,14.20847,680.74704
GM1719,115.48,16.49533,470.12344
GM1721,240.9559,18.71658,324.23566
GM1723,107.02505,6.16616,204.47047
GM1724,147.74134,11.23444,239.27273
GM1728,123.01664,12.25758,209.85114
GM1729,72.9897,8.65534,113.68481
GM1730,136.77911,20.47365,295.61349
GM1731,355.9319,20.15772,652.63411
GM1734,193.88154,28.88536,243.70407
GM1735,282.01256,21.22825,498.84197
GM1740,165.3239,14.60217,116.91823
GM1742,149.36098,23.26966,223.60288
GM1771,113.27529,24.05645,101.35744
GM1773,96.0577,10.97927,275.1275
GM1774,142.74564,16.00928,415.17777
GM1783,278.93007,65.98315,223.86776
GM1842,59.99314,11.78125,132.25353
GM1859,235.94051,26.67444,650.17688
GM1876,230.55399,22.00107,613.5322
GM1883,268.1379,56.29738,214.72052
GM1884,85.71342,16.32278,253.18593
GM1891,69.16257,11.49691,215.11802
GM1892,124.12914,25.9806,199.40225
GM1894,278.69582,26.31415,373.02113
GM1895,284.84276,23.16576,565.05787
GM1896,79.56189,13.67199,250.55994
GM1900,447.66962,54.50446,1771.25097
GM1901,109.45154,20.93783,316.18106
GM1903,95.0601,15.58885,153.98132
GM1904,192.26541,39.08816,355.34012
GM1911,285.74195,29.05062,964.5742
GM1916,196.01137,45.82543,176.87775
GM1924,210.23075,30.1418,883.77795
GM1926,141.87312,33.0095,124.05434
GM1930,249.90277,51.51951,296.12688
GM1931,182.0959,34.05268,416.14494
GM1940,259.56902,31.24696,1496.43649
GM1942,158.36168,35.06549,181.60582
GM1945,128.19982,21.12678,216.68798
GM1948,349.99587,49.10019,605.74357
GM1949,297.72111,27.97159,729.65989
GM1950,212.09256,15.30998,439.98661
GM1952,333.3696,36.99997,675.49708
GM1954,123.76643,21.7064,128.33467
GM1955,150.12795,21.88806,226.74126
GM1959,232.17257,33.65048,643.2952
GM1960,199.2022,30.80161,436.35791
GM1961,190.55729,33.84854,348.65785
GM1963,335.28094,52.64897,882.08486
GM1966,392.52843,30.04155,5991.85232
GM1969,317.6045,37.34871,708.80231
GM1970,295.11998,27.4503,1152.55102
GM1978,168.75871,26.64649,513.89615
GM1979,358.6288,27.97888,636.48366
GM1980,74.47959,17.0069,101.56538
GM1982,107.65012,7.05137,430.55014
GM1991,168.00113,25.38519,218.41862
GM1992,142.50526,19.87399,261.65165
