geo_id,buildings_final_demand_steam_hot_water_demand,input_energy_chp_local_engine_network_gas_production,input_energy_chp_local_engine_biogas_production,agriculture_final_demand_electricity_demand,agriculture_final_demand_network_gas_demand,agriculture_final_demand_steam_hot_water_demand,agriculture_chp_engine_network_gas_dispatchable_demand,agriculture_chp_engine_biogas_demand,agriculture_chp_wood_pellets_demand,input_agriculture_chp_engine_network_gas_dispatchable_electricity_output_conversion,input_agriculture_chp_engine_network_gas_dispatchable_steam_hot_water_output_conversion,input_agriculture_chp_engine_biogas_electricity_output_conversion,input_agriculture_chp_engine_biogas_steam_hot_water_output_conversion,input_agriculture_chp_wood_pellets_electricity_output_conversion,input_agriculture_chp_wood_pellets_steam_hot_water_output_conversion,agriculture_chp_engine_network_gas_dispatchable_full_load_hours,agriculture_chp_wood_pellets_full_load_hours,agriculture_chp_engine_biogas_full_load_hours,agriculture_final_demand_local_steam_hot_water_agriculture_final_demand_steam_hot_water_child_share,agriculture_final_demand_central_steam_hot_water_agriculture_final_demand_steam_hot_water_child_share
GM0074,20.76883451,0,6.21259101,35.8992,41.49315,0.231165491,0,0.592732029,0,42,53.5,42,39,65,44,3942,3650,8500,1,0
GM0398,32,0,0,418.7367169,75.63175785,424.6288538,793.6987922,0,0,42,53.5,42,39,65,44,3942,3650,8500,1,0
GM0399,3.860976919,0,2.00412899,9.42870318,0.02459205,4.511448584,8.17275795,0.356469439,0,42,53.5,42,39,65,44,3942,3650,8500,1,0
GM0402,34,0,0,3.33525204,1.1775699,0.690754604,1.2911301,0,0,42,53.5,42,39,65,44,3942,3650,8500,1,0
GM1911,42,0,0,3331.2384,0,1122,0,0,0,42,53.5,42,39,65,44,3942,3650,8500,1,0
GM0405,17,0,0,8.05655268,0.0855183,6.49028921,12.1313817,0,0,42,53.5,42,39,65,44,3942,3650,8500,1,0
GM0406,1,0,0,1.2132,1.29765,0,0,0,0,42,53.5,42,39,65,44,3942,3650,8500,1,0
GM1598,3,0,0,372.5973357,17.40291075,335.5248965,627.1493393,0,0,42,53.5,42,39,65,44,3942,3650,8500,1,0
GM0415,0,0,0,3.0996,3.2283,0,0,0,0,42,53.5,42,39,65,44,3942,3650,8500,1,0
GM0416,2,0,0,20.17823958,0.41895105,7.006145438,13.09559895,0,0,42,53.5,42,39,65,44,3942,3650,8500,1,0
GM0417,0,0,0,3.7476,2.7852,0,0,0,0,42,53.5,42,39,65,44,3942,3650,8500,1,0
GM0995,2,0,0,25.14822156,11.3570961,0.036676337,0.0685539,0,0,42,53.5,42,39,65,44,3942,3650,8500,1,0
GM0420,0,0,0,1235.95354,4.5268995,1769.523725,2258.922851,0,0,42,53.5,42,39,65,44,3942,3650,8500,1,0
GM0267,12.55788202,0,5.985411408,25.15120272,23.0287932,0.516486617,0.1390068,1.133635843,0,42,53.5,42,39,65,44,3942,3650,8500,1,0
GM0171,114.8085753,0,1.947696482,1238.899262,1387.329183,1265.618907,1931.640154,44.08057614,0,42,53.5,42,39,65,44,3942,3650,8500,1,0
GM0302,0,0,0,12.37557624,17.7504594,0.595423221,1.1129406,0,0,42,53.5,42,39,65,44,3942,3650,8500,1,0
GM0431,1,0,0,0.8388,1.3926,0,0,0,0,42,53.5,42,39,65,44,3942,3650,8500,1,0
GM0432,0,0,0,39.57699198,2.59837005,24.83870177,46.42747995,0,0,42,53.5,42,39,65,44,3942,3650,8500,1,0
GM0437,3,0,0,4.57386516,0.1384371,0.840304652,1.5706629,0,0,42,53.5,42,39,65,44,3942,3650,8500,1,0
GM0439,2,0,0,1.40334345,0.230016375,0.003936864,0.007358625,0,0,42,53.5,42,39,65,44,3942,3650,8500,1,0
GM0339,0,0,0,11.502,9.6216,0,0,0,0,42,53.5,42,39,65,44,3942,3650,8500,1,0
GM0340,1,0,0,11.12717766,7.93620585,0.00425012,0.00794415,0,0,42,53.5,42,39,65,44,3942,3650,8500,1,0
GM0441,8,0,0,329.516221,17.6842476,143.1368705,267.5455524,0,0,42,53.5,42,39,65,44,3942,3650,8500,1,0
GM0279,2,0,0,10.2636,1.61415,0,0,0,0,42,53.5,42,39,65,44,3942,3650,8500,1,0
GM0342,5,0,0,6.06846564,4.7552859,0.046632794,0.0871641,0,0,42,53.5,42,39,65,44,3942,3650,8500,1,0
GM0532,1,0,0,160.9978014,1.5891465,84.16914437,157.3255035,0,0,42,53.5,42,39,65,44,3942,3650,8500,1,0
GM0851,9,0,0,2316.615252,349.7020211,2605.306154,4869.731129,0,0,42,53.5,42,39,65,44,3942,3650,8500,1,0
GM0448,1,0,0,21.60315414,11.52126465,0.456828662,0.85388535,0,0,42,53.5,42,39,65,44,3942,3650,8500,1,0
GM0716,2,0,0,237.6976964,56.1428589,245.527144,458.9292411,0,0,42,53.5,42,39,65,44,3942,3650,8500,1,0
GM0450,0,0,0,3.5052054,3.0007365,0.003217223,0.0060135,0,0,42,53.5,42,39,65,44,3942,3650,8500,1,0
GM0451,6,0,0,1004.321424,2.074515075,1108.7557,2072.44056,0,0,42,53.5,42,39,65,44,3942,3650,8500,1,0
GM0184,1,0,0,4.13680056,4.9906986,0.005350749,0.0100014,0,0,42,53.5,42,39,65,44,3942,3650,8500,1,0
GM0345,17,0,0,4.5081459,4.06338525,0.112010141,0.20936475,0,0,42,53.5,42,39,65,44,3942,3650,8500,1,0
GM0453,12.95040667,0,4.254284101,18.4603575,0.19385625,2.909111491,5.34489375,0.127162397,0,42,53.5,42,39,65,44,3942,3650,8500,1,0
GM0285,2,0,0,48.98537784,71.6580054,14.03596286,26.2354446,0,0,42,53.5,42,39,65,44,3942,3650,8500,1,0
GM0289,19,0,0,29.72085408,30.6660648,12.17613733,22.7591352,0,0,42,53.5,42,39,65,44,3942,3650,8500,1,0
GM0852,1,0,0,9.8784,7.596,0,0,0,0,42,53.5,42,39,65,44,3942,3650,8500,1,0
GM0457,2,0,0,4.32138318,0.02459205,0.613355003,1.14645795,0,0,42,53.5,42,39,65,44,3942,3650,8500,1,0
GM1696,12.83638903,0,13.82380358,12.0843804,6.553449,5.717504751,8.511951,2.983617861,0,42,53.5,42,39,65,44,3942,3650,8500,1,0
GM0880,0,0,0,12.83028192,0.6800952,4.241857068,7.9287048,0,0,42,53.5,42,39,65,44,3942,3650,8500,1,0
GM0479,59.74933622,0,22.34543901,53.48517546,19.41471135,39.29242596,69.23693865,5.770932766,0,42,53.5,42,39,65,44,3942,3650,8500,1,0
GM0473,1,0,0,0.8748,0.3165,0,0,0,0,42,53.5,42,39,65,44,3942,3650,8500,1,0
GM0050,0,0,0,83.9484,90.7089,0,0,0,0,42,53.5,42,39,65,44,3942,3650,8500,1,0
GM0301,2,0,0,20.3453607,23.37684825,15.34775994,28.68740175,0,0,42,53.5,42,39,65,44,3942,3650,8500,1,0
