geo_id,households_number_of_apartments_2005,households_number_of_apartments_1985_2004,households_number_of_apartments_1965_1984,households_number_of_apartments_1945_1964,households_number_of_apartments_1945,households_number_of_terraced_2005,households_number_of_terraced_1985_2004,households_number_of_terraced_1965_1984,households_number_of_terraced_1945_1964,households_number_of_terraced_1945,households_number_of_semi_detached_2005,households_number_of_semi_detached_1985_2004,households_number_of_semi_detached_1965_1984,households_number_of_semi_detached_1945_1964,households_number_of_semi_detached_1945,households_number_of_detached_2005,households_number_of_detached_1985_2004,households_number_of_detached_1965_1984,households_number_of_detached_1945_1964,households_number_of_detached_1945,input_households_insulation_level_apartments_2005,input_households_insulation_level_apartments_1985_2004,input_households_insulation_level_apartments_1965_1984,input_households_insulation_level_apartments_1945_1964,input_households_insulation_level_apartments_1945,input_households_insulation_level_terraced_2005,input_households_insulation_level_terraced_1985_2004,input_households_insulation_level_terraced_1965_1984,input_households_insulation_level_terraced_1945_1964,input_households_insulation_level_terraced_1945,input_households_insulation_level_semi_detached_2005,input_households_insulation_level_semi_detached_1985_2004,input_households_insulation_level_semi_detached_1965_1984,input_households_insulation_level_semi_detached_1945_1964,input_households_insulation_level_semi_detached_1945,input_households_insulation_level_detached_2005,input_households_insulation_level_detached_1985_2004,input_households_insulation_level_detached_1965_1984,input_households_insulation_level_detached_1945_1964,input_households_insulation_level_detached_1945,input_households_share_of_useful_demand_for_space_heating_apartments_2005,input_households_share_of_useful_demand_for_space_heating_apartments_1985_2004,input_households_share_of_useful_demand_for_space_heating_apartments_1965_1984,input_households_share_of_useful_demand_for_space_heating_apartments_1945_1964,input_households_share_of_useful_demand_for_space_heating_apartments_1945,input_households_share_of_useful_demand_for_space_heating_terraced_2005,input_households_share_of_useful_demand_for_space_heating_terraced_1985_2004,input_households_share_of_useful_demand_for_space_heating_terraced_1965_1984,input_households_share_of_useful_demand_for_space_heating_terraced_1945_1964,input_households_share_of_useful_demand_for_space_heating_terraced_1945,input_households_share_of_useful_demand_for_space_heating_semi_detached_2005,input_households_share_of_useful_demand_for_space_heating_semi_detached_1985_2004,input_households_share_of_useful_demand_for_space_heating_semi_detached_1965_1984,input_households_share_of_useful_demand_for_space_heating_semi_detached_1945_1964,input_households_share_of_useful_demand_for_space_heating_semi_detached_1945,input_households_share_of_useful_demand_for_space_heating_detached_2005,input_households_share_of_useful_demand_for_space_heating_detached_1985_2004,input_households_share_of_useful_demand_for_space_heating_detached_1965_1984,input_households_share_of_useful_demand_for_space_heating_detached_1945_1964,input_households_share_of_useful_demand_for_space_heating_detached_1945,input_buildings_insulation_level,number_of_buildings
GM0072,341,450,488,154,242,236,159,1263,341,893,275,279,1038,272,473,76,363,154,70,199,116.9857225,157.9232255,207.3464192,201.8298537,247.1969531,115.766923,147.9931588,162.4206968,136.5567359,262.4782286,119.0582095,151.4441817,181.843495,173.707459,285.3427248,112.9373937,143.5349987,209.4037098,260.8356723,307.3836011,4.321426429,6.134771611,6.250915549,1.547888273,3.073315076,2.827599148,1.997501336,16.57775087,4.457136958,11.49992397,3.599555235,3.678449405,13.6455873,3.296220753,5.93279277,0.965041024,4.967751746,1.939603757,0.842758548,2.444010251,264.7599668,812
GM0074,566,2118,2046,403,184,772,829,2116,919,228,807,1545,2034,999,992,539,1997,1094,810,2374,112.6446302,159.8075813,213.0681053,255.8559914,253.7885858,117.3009163,163.3699904,188.0647124,223.4180075,280.7325955,117.944566,164.6942575,194.9366053,229.7966409,291.7785313,116.5596324,146.2734172,218.9740402,277.7449508,301.9823724,2.160225709,8.99890757,8.642631328,1.753931861,0.743937145,3.043496836,3.71168465,9.102334543,4.040391961,0.953813236,3.29163895,6.659820817,8.70771618,4.335507793,4.27358641,2.11608933,8.826362594,4.705894631,3.528986132,10.40304232,240.9453567,3066
GM0080,2542,3964,7189,5197,3122,1714,1895,6507,1611,8070,1824,2666,4123,1373,4216,891,2330,902,367,2028,122.9123995,158.7495301,189.5765579,217.6868054,229.8155818,114.8940108,164.1984508,197.0766919,222.5525741,280.7342428,115.934345,162.1928408,207.1621104,245.7445561,302.4473042,116.6988876,142.8639338,215.3714194,283.4861123,302.0307464,3.856459836,6.234554807,11.34595321,8.510753113,4.851003685,2.634824276,2.937353516,10.5255828,2.651420444,13.30975488,2.812247007,4.231438499,6.64200866,2.26075754,6.902992144,1.34872086,3.648629242,1.461303881,0.595217648,3.239023952,240.3249691,6798
GM0085,233,312,481,24,11,64,180,1354,265,13,142,727,1544,815,117,223,1061,1332,974,1347,116.8140871,159.7609379,143.2529334,302.1701212,203.8062931,117.4351765,154.2426968,173.0850468,201.3293247,249.8075168,114.7552117,161.1009239,188.3178952,239.7233172,306.6523214,119.2839487,151.9584976,222.7557196,290.7232481,290.7412907,2.019923251,3.089063696,4.546112223,0.162251538,0.086131427,0.609131393,1.576770237,11.30616264,2.458228937,0.096435046,1.271826985,6.392262397,13.45211643,7.433439357,1.165989583,1.802378065,9.299003204,12.43230182,8.667827427,12.13264435,251.6666539,1975
GM0086,570,644,313,17,119,187,224,1032,145,64,379,727,1466,675,310,423,1503,1002,701,2466,122.6469268,163.5173992,203.5733297,331.3221003,234.9672401,114.9135096,175.90199,205.8176661,224.501697,301.8537494,115.5067912,167.4998125,216.6849334,253.5568235,300.6229783,118.2859873,149.0352753,225.1638643,275.6574718,306.2119129,4.978022763,5.265706475,2.519517068,0.137116435,1.03973974,1.555759178,1.7813842,7.773148589,1.089744011,0.485359735,3.119404039,5.67264062,10.8063235,5.098895511,2.470416364,3.537940818,11.25311731,7.706654203,5.263776125,18.44533332,284.9999391,986
GM0088,6,18,12,0,18,10,10,19,16,26,39,25,93,46,52,7,40,49,35,65,107.7557402,106.1903597,135.4643134,0,256.8804912,118,149.6190205,130.9477448,265.7905906,240.5566917,104.2372208,147.1336134,172.3743138,187.1650223,346.1961651,115.3724891,134.0927216,230.9258318,324.203113,316.2116525,1.252605371,2.390858292,1.980081588,0,3.407865178,1.933448497,1.082698718,3.63616457,2.279749884,4.482859298,8.340835178,4.1357469,15.21455277,8.496549151,9.343243879,1.303699018,6.222070834,7.283277779,5.987283359,11.22640974,312.7828042,847
GM0090,1012,1634,1851,677,122,702,1073,4238,1652,159,786,1738,2978,1174,478,554,1651,1216,537,1512,118.6396629,163.8658481,211.3657353,223.9577839,191.7962292,114.1838943,164.7909942,201.832874,196.2027164,290.5529,115.801313,154.7591745,211.5381973,225.2197566,303.2925184,115.2295828,140.9664696,214.1772923,277.828552,310.0322567,3.631323658,6.41872688,7.274033994,2.659058796,0.456972761,2.676597473,4.205284077,16.38972874,6.459776755,0.615937582,2.966319659,6.832147088,11.6575864,4.565689423,1.896580038,2.056422291,6.464622575,4.762752757,2.135670388,5.874768664,230.6201173,3328
GM0093,104,72,10,2,62,26,40,120,48,171,71,91,143,110,277,93,140,164,132,405,123.3755928,156.3624699,221.816092,,270.9215198,111.7969638,168.0353824,215.6568245,242.9053372,297.5247376,118.0086116,179.2314674,234.0800062,282.8103217,319.0027196,114.2704348,150.5137763,239.6746096,323.7153079,326.3968318,4.316767164,3.330450401,0.486190681,0.091575497,2.856867941,1.393871962,1.696137461,5.756426875,2.17049411,6.769729653,3.145419234,3.879903381,6.168848405,5.118384555,11.27208098,4.507107055,5.837495521,7.433430807,5.869347867,17.89947045,281.5384252,1865
GM0096,30,24,17,15,20,10,31,15,62,45,10,45,29,87,44,16,17,21,11,26,91.31,124.9219331,270,302.93,162.9006515,118,152.824775,161.0157233,159.2374589,263.0254773,204.6483516,183.3865744,207.9596809,208.5283704,285.9135932,172.7610392,126.3480062,241.3239633,205.8193277,329.4577016,6.025148665,3.289635892,2.872163044,2.748467386,2.470987935,1.829107761,5.721759989,2.899743833,10.99637689,9.19777515,1.931908883,6.938239928,5.343986761,14.71602235,7.388308253,2.751392621,3.100749278,3.862981985,1.626848644,4.288394756,239.3677882,630
GM0098,314,487,351,38,69,187,199,1323,414,41,340,632,1317,638,380,335,862,740,472,2463,114.4249951,132.2752025,191.6642446,199.7021605,235.0566134,113.8449803,160.6583359,182.4282319,199.9695461,255.0060457,117.2860735,160.4255012,205.3157644,226.6189291,293.1839448,116.228777,146.5225416,222.8975092,290.5979272,298.966219,2.327952561,4.328705556,2.8497541,0.290585218,0.545003177,1.44330188,1.666635292,11.16179966,3.503635551,0.315575217,2.899051698,5.690636986,11.20761466,5.546062075,2.96644469,2.848224581,7.979127938,6.473751088,4.09563028,21.8605078,244.4152947,1322
GM0106,2580,1823,3152,1215,380,1261,3659,4135,1192,222,1049,3316,2789,993,1029,570,1157,534,256,843,115.2759943,148.6662685,208.6560613,223.2860484,183.6989634,115.9574993,158.027066,192.7630895,217.9663581,318.2223416,117.5546968,156.5300243,201.7516573,228.7647186,302.8556605,116.9402967,141.7683118,206.1958621,263.8171343,300.81896,7.808461054,5.572283933,9.836435508,4.18200003,1.14775485,3.718569342,11.64821739,12.72637276,3.654788861,0.688323194,3.137844595,10.30371016,8.71020198,3.054313793,3.260451654,1.714523791,3.596158154,1.745144951,0.798280253,2.696163745,229.9683671,3520
GM0109,162,854,658,61,212,159,374,1625,369,119,461,1471,1997,872,387,454,1431,1351,822,1644,124.6134602,170.0872426,196.0969207,241.16399,224.6871492,115.8704412,161.0020457,178.7649533,226.0816524,278.0296043,117.4733241,162.3994226,191.8785941,226.7075189,288.5432502,115.4066823,149.4991753,216.6309916,267.5166915,293.4670192,1.333647234,5.646126093,4.39658319,0.442241643,1.443016306,1.112518052,2.554581287,10.59651039,2.604207858,0.841327564,3.469830372,9.315683351,12.48835623,5.568358847,2.644554529,3.220493634,9.083301244,8.158187038,4.929650823,10.15082431,275.613079,2798
GM0114,1506,3361,3773,738,211,594,2303,7198,2432,69,892,4204,5161,3366,1188,993,3412,2352,1704,3713,117.7036279,170.0820794,207.6886047,258.9736265,243.8440589,117.7989886,170.8176169,197.8385228,221.4715197,290.0007097,118.4280201,166.9184254,215.9337861,242.0306546,311.364444,121.6685183,148.8536311,213.7885834,286.0179698,297.8941991,2.973924192,6.688562851,7.721123315,1.481638879,0.380752286,1.20047799,4.734105169,14.7771235,4.992011859,0.151928538,1.770125752,8.511130717,10.58797543,6.876253905,2.401718413,1.959645539,6.976309391,4.749259902,3.46906349,7.596868877,229.7552207,6165
GM0118,1265,1860,2380,697,151,638,1234,3743,1358,170,580,1863,2379,1668,719,556,1315,1183,664,913,120.1101252,157.7424107,229.1619692,203.568405,309.6169101,116.1063588,161.4448714,194.5066673,211.6512098,289.1305695,117.7814438,166.3237256,207.0825666,249.2233044,296.3093025,117.1874584,153.4912593,213.4497748,282.5931857,302.0105581,4.607159882,7.899729132,8.821810318,2.459739341,0.53861215,2.508106536,5.638110235,14.28712134,5.254550187,0.672529516,2.220128074,8.794193591,8.921932334,6.266762424,2.834137633,2.149503678,5.930416767,4.29697478,2.426975445,3.471506636,237.6928519,2684
GM0119,701,1189,1379,466,260,648,1064,1730,842,709,777,1052,1256,511,1114,395,629,311,134,683,103.7153765,166.229104,259.0319636,213.9876299,218.0204917,117.6122641,161.9608614,184.6759969,195.7529299,276.6459293,115.7014937,162.1548746,198.1615203,210.4288761,300.4844315,114.6775439,150.5596507,217.6362031,262.931337,309.4030902,4.927822017,7.604972874,8.218237336,2.538860322,1.559478243,4.489360818,6.664636198,10.44906921,5.246549393,4.579514298,5.410150441,6.750097735,7.514494692,3.188523866,7.203917333,2.702542546,3.989514727,1.843105345,0.876029467,4.243123139,249.1820035,1621
GM0141,1278,2711,2715,2325,442,639,2345,4107,1917,1760,645,1999,2483,1440,2855,573,1368,729,437,861,120.6364367,153.4631442,198.3455068,240.5474658,246.2476977,117.3000541,159.1461999,213.4123925,236.6641436,261.6819972,117.6672565,165.080139,220.6622008,258.5015388,291.5254661,116.4612333,144.3427245,212.8290487,303.3601602,310.2417223,3.446881663,7.286537017,8.500618938,7.122333366,1.292523804,1.71220238,6.625937076,12.60183083,6.048630206,5.410436634,1.708565949,5.600306902,7.58187161,4.510851101,8.962908016,1.548069263,3.841998657,2.218810456,1.366772821,2.611913307,250.0738408,3541
GM0147,398,709,185,13,93,654,720,1120,251,172,586,720,1578,406,610,371,575,381,136,283,68.61574457,147.6854926,160.0434717,180.6122051,295.660802,114.602908,172.1460414,203.8247563,151.9958886,293.0453485,115.7731545,171.6134487,206.3445816,216.0914407,309.3948259,115.7556458,160.7612204,219.9201993,297.8739043,307.5638473,3.447875478,7.128056282,1.846336204,0.136692273,0.816301599,6.494148619,7.191422285,11.72793835,2.553625165,1.670848419,5.886049602,7.586503674,15.98254037,4.170132353,6.145016524,3.766108736,5.732270795,3.974558949,1.235568276,2.508006045,263.7085161,832
GM0148,590,364,222,85,201,447,444,1064,163,19,695,1053,1396,532,287,433,960,1266,592,1068,115.9412475,157.6098224,151.7582125,260.5431605,284.1521809,115.682251,163.4783775,171.5439116,218.6136705,339.49631,116.6761455,162.6561073,194.7797427,229.9304773,272.566828,117.990886,150.078557,218.9741546,287.9457064,291.2765063,5.115900395,3.058961077,2.039292126,0.708519886,1.637961559,3.890164426,3.558804633,8.887295326,1.503879521,0.160449827,6.054268664,8.544445403,11.78830145,4.695389093,2.47655796,3.681900092,7.952886804,10.47133109,5.109010894,8.664679774,248.0252303,1286
GM0150,1672,3378,4123,3395,2274,1681,4914,3733,1999,4301,1151,2655,2449,1383,2706,615,1269,768,441,1142,116.5544388,146.1814904,236.0458686,198.5862543,207.037397,119.6105604,155.3251648,199.8025166,198.5549656,241.831548,116.4531065,160.8388763,208.0793769,227.3585316,267.5558401,115.100656,147.9088563,217.4747473,283.3504332,299.3173577,3.520442592,6.844051726,9.430693014,8.569629535,4.923594767,3.437874539,9.986819864,8.132492468,4.855405258,9.164695828,2.360364095,5.316017498,5.258497455,3.42279174,5.700628865,1.276221915,2.597193379,1.640544863,1.156181618,2.405858981,247.7936005,4610
GM0153,4148,6798,8641,6121,1408,1720,5135,8112,3017,3122,1477,3442,4055,3411,8541,1137,1877,1046,657,1553,122.6924821,163.8024718,200.9121192,233.7563132,257.1229253,113.1737151,145.1257231,180.5015285,219.9858395,232.254237,114.2084869,150.7264712,197.8673394,235.806144,279.7526597,116.5356119,149.9924381,216.4738411,290.9711975,303.4972652,5.441090243,9.044425412,11.36595516,8.115361184,1.81905836,2.210623735,6.844226827,10.85713106,3.997888739,4.172996245,1.920407366,4.623442482,5.368710338,4.518624636,11.39565827,1.490494726,2.462910142,1.376716019,0.881122694,2.093156358,198.4816956,8867
GM0158,431,469,287,329,95,169,699,1291,274,30,184,969,1733,719,357,245,845,563,307,513,128.4344423,147.7183913,221.1524443,230.4779144,252.9992038,117.6466964,158.3892901,183.0823025,190.6501596,281.2162808,115.8240059,159.1012825,202.6593754,221.9578574,310.3911796,116.0484635,152.0236246,211.4485763,295.6819956,317.7435051,4.483560167,4.321096973,2.503132794,3.189697496,1.003709197,1.656095614,6.455352482,12.53497651,2.479554431,0.26329172,1.829830921,9.102023732,16.31969158,6.654475895,3.427213309,2.529761866,8.071840583,5.456865686,2.882429026,4.835400016,291.9078806,1105
GM0160,1302,1128,438,455,250,735,1161,2877,682,90,978,2258,2572,1208,814,806,1664,1740,1517,2141,103.784617,164.0096221,205.9573723,234.8127355,280.870058,113.6738566,158.3657998,169.9390115,159.7532327,283.7466109,115.1669678,162.2174288,184.2455435,211.1392223,298.2769887,115.437432,154.864441,226.1849302,281.5355966,309.0475643,4.923382327,4.344243281,1.675387126,2.046094211,0.987680111,2.749015163,4.776661059,11.91858968,2.781688559,0.365453796,3.635141989,8.75391576,10.68099723,5.127065727,3.327340464,3.061678556,6.558545741,7.252051976,6.260910875,8.774156373,273.0663805,3508
GM0163,395,1116,447,76,108,169,934,1767,502,116,386,1190,1796,1112,657,405,798,1050,641,1206,119.201354,158.1343545,179.1449945,262.8050079,287.5397838,117.5119631,166.7942829,170.4267301,209.8858177,298.5974373,113.1513372,161.8963401,186.7266904,230.867378,300.8178254,112.3791599,154.3966186,216.1818402,278.0425618,299.6228026,2.496162925,7.039411459,2.750107864,0.561263028,0.70568035,1.160214683,6.423050159,12.12844974,3.305509,0.745586989,2.866307126,8.086595471,12.21565639,7.431049266,4.309600178,2.899894187,5.395423393,7.094932209,4.334614441,8.05049114,211.0534123,1967
GM0164,1639,3400,2986,2965,417,880,2411,4963,1528,1568,603,1724,2995,1866,4287,501,1213,982,392,1420,102.8571937,140.7883383,196.5590248,172.7732733,200.4151252,114.3100267,155.5635221,173.3832997,218.9118849,265.7880694,117.1561288,167.0790691,193.791513,249.3811191,302.5368304,115.3398931,152.307926,211.048995,272.4614634,314.7482458,3.989088989,8.985699773,7.971536504,7.550116109,1.104604303,2.081719851,6.089983082,12.77006621,3.8169131,4.07134002,1.443319432,4.292490751,7.841336102,4.729878212,11.17445402,1.223304289,3.234005113,2.712412032,1.093048828,3.824683279,234.7511207,5509
GM0166,978,1035,1459,393,1143,1163,1624,2434,793,2709,1033,1803,1534,603,1177,418,908,556,274,530,106.1609734,153.362671,174.4766106,173.9550428,243.9886741,114.0949681,159.5889264,174.5073815,209.202229,272.2435726,115.1295416,155.0868694,194.2222981,238.8623824,285.7874236,113.9269559,151.3818723,217.492794,279.8716509,292.0976416,4.747572728,4.587952569,6.432533177,1.872178276,4.628962189,5.271491082,6.838379262,10.39409381,3.938493421,14.13699254,4.661168813,7.528186404,6.458695452,2.756918481,5.35650446,1.7189501,3.762287747,2.040780854,0.969495661,1.898362979,263.7393118,2486
GM0168,314,402,377,186,139,231,433,1028,328,60,243,728,1417,654,661,279,926,744,263,371,109.4531467,152.2555743,205.9773551,220.0111844,292.6303933,113.3244001,167.1819851,201.8386676,225.0721535,312.2856816,115.5514187,162.2779231,216.1675352,251.0070428,314.4318722,115.3922294,147.0906223,219.5496021,290.484906,410.5527786,2.974422909,4.301123534,3.778197403,2.079753529,1.49398649,2.335858285,4.046533693,10.38917318,3.621908697,0.591013133,2.510943155,7.076279044,14.14927577,7.089380251,6.637037926,2.890541518,9.707237112,7.69778685,2.782617868,3.846929647,271.5389456,809
GM0171,735,830,693,284,0,404,1391,3315,2134,90,778,1981,1811,1702,65,434,1114,402,1430,33,101.5995412,139.818192,204.5114559,192.7114007,0,108.0592407,164.8016315,176.787353,220.2232093,236.5717521,113.5917074,159.2128767,193.5341155,241.7973322,290.3527925,116.553301,148.5650965,216.7152719,269.845048,327.6380785,3.705495142,3.976391479,3.128121245,1.377661638,0,1.865766976,6.809741039,16.72730799,11.11003367,0.467977416,3.58110896,9.79431401,9.357693914,9.170335537,0.313611833,2.188225822,5.884191429,2.16025535,8.198168475,0.183598074,270.8732084,2515
GM0173,543,782,1254,402,223,366,1081,2437,938,254,298,810,1584,958,667,224,689,408,271,417,118.1087305,181.2343032,201.9367632,217.4628402,222.3810363,109.2653853,162.7089495,190.9007186,197.2523889,263.6662432,112.4928874,165.3805503,205.7618945,221.3852207,311.7496735,120.471875,151.5435961,212.0014454,261.9049272,305.8296783,3.975287068,5.391835482,8.441665369,2.810277139,1.534246181,2.579956646,7.34097529,16.64579361,6.511098054,1.678884859,2.092968638,5.442567899,10.8057168,6.420251215,4.518010548,1.644295393,4.584471993,2.819257442,1.857501118,2.904939257,264.3002976,1597
