geo_id,input_percentage_of_apartments,input_percentage_of_corner_houses,input_percentage_of_semi_detached_houses,input_percentage_of_detached_houses,input_percentage_of_terraced_houses,input_households_apartments_heat_demand_reduction,input_households_corner_houses_heat_demand_reduction,input_households_semi_detached_houses_heat_demand_reduction,input_households_detached_houses_heat_demand_reduction,input_households_terraced_houses_heat_demand_reduction
GM0106,0.2806593266721823,0.1526443072615032,0.13476102590211927,0.10659963087889007,0.32533570928530514,0.17,0.21,0.18,0.17,0.21
GM0109,0.12396049896049895,0.11304573804573805,0.22193347193347196,0.3655795218295218,0.17548076923076922,0.17,0.21,0.18,0.11,0.21
GM0114,0.1931151843195145,0.13193504736129905,0.17072620658547588,0.24738590232500926,0.2568376594087013,0.17,0.21,0.13,0.11,0.21
GM0118,0.24536123968605356,0.14385188166633125,0.14304689072247934,0.1824914469712216,0.2852485409539143,0.17,0.21,0.13,0.17,0.21
GM0119,0.2554257095158597,0.15834082445100808,0.13901374085013485,0.13471169898548865,0.3125080261975087,0.17,0.21,0.13,0.17,0.21
GM0141,0.2785389511973325,0.17047590178842073,0.10997271900575932,0.11718702637162776,0.32382540163685963,0.17,0.13,0.13,0.17,0.21
GM0147,0.13765140628207762,0.17645247382467666,0.21063436665982346,0.17450215561486349,0.3007595976185588,0.27,0.21,0.13,0.17,0.21
GM0148,0.11897551267630008,0.1229557843731072,0.21199273167777105,0.3731937353984598,0.17288223587436186,0.17,0.21,0.18,0.11,0.21
GM0150,0.3136317963603885,0.14672323322541028,0.07937925644747125,0.09277659930780396,0.36748911465892603,0.17,0.21,0.13,0.17,0.21
GM0153,0.35063330663444703,0.15230583348040347,0.13004167741409972,0.08281180000271514,0.28420738246833466,0.17,0.21,0.09,0.17,0.21
GM0158,0.14192922927775084,0.162094037809016,0.22375181774115369,0.2394571013087736,0.23276781386330586,0.17,0.21,0.13,0.17,0.21
GM0160,0.13912685337726524,0.13838550247116968,0.17883031301482702,0.3191927512355848,0.2244645799011532,0.17,0.21,0.13,0.11,0.21
GM0163,0.14171561262122662,0.16678049446796886,0.17873241360469885,0.2766698538451031,0.2361016254610026,0.27,0.21,0.13,0.11,0.21
GM0164,0.2929932970255551,0.15335672392124006,0.1446899874319229,0.11546920821114368,0.29349078341013823,0.17,0.21,0.09,0.11,0.21
GM0166,0.22077624524584155,0.16711726160472895,0.10534756907849516,0.12120240113641573,0.38555652293451853,0.17,0.21,0.18,0.17,0.21
GM0168,0.14176797856995674,0.16680403873892438,0.21069441582526272,0.2609725942715846,0.2197609725942716,0.17,0.21,0.13,0.17,0.21
GM0171,0.12344916344916344,0.19588159588159587,0.1275160875160875,0.17477477477477474,0.3783783783783784,0.17,0.21,0.18,0.17,0.21
GM0173,0.2168657960544596,0.1913726035009725,0.10551542095026396,0.13837176993609335,0.34787440955821064,0.17,0.21,0.09,0.17,0.21
GM0175,0.16168571822063074,0.12091998347335077,0.15782950006886104,0.380388376256714,0.17917642198044348,0.17,0.21,0.13,0.11,0.21
GM0177,0.12613133063739648,0.1665061942358303,0.17664805186468965,0.2741511008408755,0.25656332242120805,0.17,0.21,0.13,0.11,0.21
GM0180,0.13879310344827586,0.09775862068965516,0.20482758620689656,0.4205172413793104,0.13810344827586207,0.17,0.21,0.13,0.11,0.21
GM0183,0.22732696897374705,0.07852028639618139,0.19749403341288785,0.4025059665871122,0.0941527446300716,0.17,0.21,0.13,0.17,0.21
GM0184,0.12826120918606468,0.23090142165286676,0.1412279331354476,0.07842524605530386,0.4211841899703172,0.32,0.21,0.18,0.17,0.21
GM0189,0.13156805957798925,0.15039304923458832,0.21896979726934213,0.3121638394704179,0.1869052544476624,0.27,0.21,0.13,0.11,0.21
GM0193,0.3408593032294537,0.14516641933432267,0.04503215320472052,0.053724118436859584,0.41521800579464346,0.17,0.21,0.13,0.17,0.21
GM0197,0.17597718503606774,0.1611306827713471,0.19099144438852544,0.2539003522898842,0.21800033551417547,0.17,0.13,0.13,0.11,0.21
GM0200,0.2842131809011432,0.13438690876485093,0.10877605917955616,0.17458249271463794,0.2980413584398117,0.17,0.21,0.13,0.11,0.21
GM0202,0.4692269487361907,0.12384391317771185,0.04733076499724821,0.028027974280843526,0.3315703988080057,0.17,0.21,0.13,0.11,0.21
GM0203,0.20742497491562528,0.15401806074979474,0.112560430539086,0.2148134634680288,0.3111830703274651,0.27,0.21,0.13,0.11,0.21
GM0209,0.1484565945505567,0.18747171177695304,0.14094324250927853,0.1940798406807278,0.3290486104824839,0.27,0.21,0.18,0.17,0.21
GM0213,0.1119603832490042,0.1841963612875444,0.17450748196791904,0.24340617935192166,0.28592959414361074,0.17,0.21,0.13,0.11,0.21
GM0214,0.07146260123868509,0.15616960457360649,0.17370176274416388,0.39094807050976654,0.207717960933778,0.27,0.21,0.13,0.11,0.21
GM0216,0.2443093105431835,0.18867614430109292,0.07765633988002299,0.0783137480483195,0.411044457227381,0.17,0.21,0.18,0.17,0.21
GM0221,0.2075757575757576,0.20738636363636365,0.08863636363636364,0.08011363636363636,0.4162878787878788,0.27,0.21,0.13,0.17,0.21
GM0222,0.2365679503687229,0.1573217839166569,0.13543251785087207,0.16020913808576226,0.31046860977798585,0.17,0.21,0.13,0.11,0.21
GM0225,0.16836030610964747,0.18655124827499686,0.14979299962363568,0.22130222054949192,0.2739932254422281,0.27,0.21,0.18,0.11,0.21
GM0226,0.13348946135831385,0.19091334894613585,0.10079625292740046,0.1325526932084309,0.44224824355971903,0.17,0.21,0.18,0.17,0.21
GM0228,0.2928434157754011,0.1241644385026738,0.09859625668449197,0.19560494652406415,0.28879094251336895,0.17,0.21,0.09,0.11,0.21
GM0230,0.14134656883901595,0.1869874838152784,0.12699611566681054,0.19410876132930516,0.35056107034959005,0.17,0.21,0.13,0.11,0.21
GM0232,0.19705027299156208,0.13663759483797774,0.0965751967666454,0.31950648798128056,0.2502304474225342,0.17,0.21,0.13,0.11,0.21
GM0233,0.2170061192802996,0.15700063932779248,0.11909763448716774,0.23874326422504336,0.2681523426796968,0.17,0.21,0.13,0.11,0.21
GM0236,0.10951378078930503,0.1689405732075817,0.14540792967676952,0.3062906327259409,0.2698470836004029,0.27,0.21,0.13,0.11,0.21
GM0243,0.3082067499611177,0.16869718492404998,0.0581160246772772,0.07776452900616931,0.3872155114313858,0.17,0.21,0.13,0.17,0.21
GM0244,0.1588714258663132,0.17212649119484946,0.1247869721643628,0.23669759515243324,0.3075175156220413,0.17,0.21,0.13,0.11,0.21
GM0246,0.16491542798564834,0.11788826242952333,0.15479241414659148,0.3795489492567914,0.1828549461814454,0.17,0.21,0.13,0.11,0.21
GM0252,0.16989881956155142,0.1558459808881394,0.15823496346261945,0.2355255761663856,0.2804946599213041,0.27,0.21,0.13,0.11,0.21
GM0262,0.15376877682403434,0.1419662017167382,0.1569206008583691,0.35548551502145925,0.19185890557939916,0.17,0.21,0.13,0.11,0.21
GM0263,0.08472505091649694,0.1574338085539715,0.17810590631364562,0.35570264765784115,0.2240325865580448,0.27,0.21,0.13,0.11,0.21
GM0267,0.16291494087280148,0.20055225403685692,0.10150669307881624,0.16195449906957202,0.3730716129419533,0.27,0.21,0.13,0.11,0.21
GM0268,0.4414458557913384,0.13797695777266844,0.03977736735642581,0.027577802068021056,0.35322201701154626,0.17,0.21,0.09,0.11,0.21
GM0269,0.14162102957283682,0.14326396495071195,0.16133625410733846,0.28882803943044905,0.26495071193866376,0.17,0.21,0.13,0.11,0.21
GM0273,0.1492181837009423,0.14228021124572848,0.142487314901108,0.3246349798073936,0.2413793103448276,0.27,0.21,0.13,0.11,0.21
GM0274,0.3047833197056419,0.1281002998092123,0.21259198691741615,0.1650994821477242,0.18942491142000545,0.17,0.13,0.09,0.11,0.21
GM0275,0.2557631066115309,0.17149104044869054,0.1961119825086744,0.09753315271638384,0.2791007177147203,0.17,0.13,0.09,0.11,0.13
GM0277,0.01809954751131222,0.14177978883861234,0.33634992458521873,0.3212669683257919,0.18250377073906485,0.17,0.13,0.13,0.11,0.13
GM0279,0.13649096002037178,0.21899668958492488,0.17443340972752738,0.15711739241151007,0.3129615482556659,0.27,0.21,0.13,0.11,0.21
GM0281,0.25391148860080465,0.17702279839070184,0.08258828788556102,0.08985248100134108,0.3966249441215913,0.17,0.21,0.13,0.11,0.21
GM0285,0.1612133931126586,0.1305923876752838,0.16369359916054566,0.3490413049699513,0.1954593150815606,0.17,0.21,0.13,0.11,0.21
GM0289,0.5162417045057632,0.11037373384561648,0.0838863662824543,0.07247642333216905,0.21702177203399695,0.17,0.21,0.13,0.11,0.21
GM0293,0.12873666816884485,0.21751539732612288,0.09343548144809974,0.08983025386810876,0.4704821991888238,0.27,0.21,0.13,0.11,0.21
GM0294,0.2144816236972024,0.1668364548232897,0.1602538985972886,0.2052346994749628,0.2531933234072565,0.17,0.13,0.09,0.11,0.13
GM0296,0.17739315521200918,0.1739203495210889,0.12205231613734388,0.1682630370245897,0.35837114210496834,0.27,0.21,0.13,0.11,0.21
GM0297,0.1173469387755102,0.15753669889008234,0.12781954887218044,0.2779269602577873,0.3193698532044397,0.27,0.21,0.13,0.11,0.21
GM0299,0.17420503688628847,0.2028491477995421,0.12363266344441615,0.16036631900279827,0.33894683286695504,0.17,0.21,0.13,0.17,0.21
GM0301,0.3097393440385753,0.1629440931628986,0.08006186598735386,0.06491379702497384,0.3823408997861985,0.17,0.21,0.13,0.11,0.21
GM0302,0.16020331325301204,0.16189759036144574,0.16227409638554216,0.25592996987951805,0.25969503012048195,0.17,0.21,0.13,0.11,0.21
GM0303,0.12320340687289287,0.16336428698172353,0.10480865913526942,0.21748388241556751,0.3911397645945465,0.27,0.21,0.18,0.17,0.21
GM0304,0.053860331763260286,0.1443784558672947,0.16956788859307806,0.4329305754659021,0.19926274831046487,0.27,0.21,0.13,0.11,0.21
GM0307,0.3509836751778987,0.14508461400466424,0.06210010165640136,0.03738862644262393,0.4044429827184118,0.17,0.21,0.13,0.17,0.21
GM0308,0.3134056399132321,0.15392624728850327,0.15149674620390455,0.10377440347071584,0.27739696312364426,0.17,0.13,0.09,0.11,0.21
GM0310,0.3404310167044752,0.13126417818106825,0.13270777479892762,0.13085172200453699,0.264745308310992,0.08,0.13,0.09,0.11,0.13
GM0312,0.15186695952306245,0.2020709130844054,0.15531848133040474,0.1055851898336994,0.385158456228428,0.27,0.13,0.09,0.11,0.21
GM0313,0.18850380388841928,0.19828523125226424,0.10819949281487742,0.08453085376162299,0.4204806182828161,0.27,0.21,0.09,0.17,0.21
GM0317,0.09523809523809523,0.227045514338332,0.09392265193370164,0.09497500657721653,0.4888187319126546,0.32,0.21,0.18,0.17,0.21
GM0321,0.22136756405773936,0.1770640827131512,0.04894860396583587,0.07512112282103793,0.4774986264422357,0.27,0.21,0.18,0.17,0.21
GM0327,0.17592592592592593,0.1596232985121874,0.10074390629946184,0.11087369420702754,0.4528331750553973,0.27,0.21,0.13,0.17,0.21
GM0331,0.12497755431854912,0.16897108996229127,0.121565810738014,0.2643203447656671,0.32016520021547856,0.17,0.21,0.13,0.11,0.21
GM0335,0.14126069495372795,0.1925964728479134,0.0679238693906059,0.1571503404924044,0.4410686223153483,0.27,0.21,0.13,0.11,0.21
GM0339,0.11935807422266802,0.1760280842527583,0.13239719157472418,0.23671013039117356,0.33550651955867605,0.17,0.21,0.13,0.17,0.21
GM0340,0.1991773650754082,0.1409697120777764,0.1564252773276829,0.21351115542814408,0.2899164900909884,0.17,0.21,0.09,0.11,0.21
GM0342,0.3427037579306979,0.1189360663738409,0.14289897510980967,0.1214738897022938,0.27398731088335776,0.17,0.21,0.09,0.11,0.21
GM0344,0.5527680181069309,0.07590830734409748,0.017133157001302753,0.01567907570434119,0.33851144184332765,0.17,0.21,0.18,0.17,0.21
GM0345,0.3898446573751452,0.13465447154471544,0.09491144018583043,0.05676538908246225,0.3238240418118467,0.17,0.21,0.13,0.17,0.21
GM0351,0.160111798762228,0.1834697544420044,0.14753443801157914,0.15831503294070673,0.3505689758434817,0.27,0.21,0.13,0.11,0.21
GM0352,0.16459627329192547,0.1813263874974955,0.08956121017832097,0.0973752754958926,0.4671408535363655,0.17,0.21,0.13,0.11,0.21
GM0353,0.300195067576982,0.15751706841298593,0.0596349449630765,0.046328549533231164,0.4363243695137244,0.17,0.21,0.18,0.17,0.21
GM0355,0.4434246479366637,0.1127303299936944,0.1484621312968542,0.07128844671757864,0.22409444405520915,0.17,0.13,0.09,0.11,0.21
GM0356,0.37827767524462863,0.15342828289863147,0.024271337535257863,0.02120695058676045,0.4228157537347216,0.17,0.21,0.13,0.17,0.21
GM0358,0.20383153649267044,0.1801752889164663,0.08725665089583495,0.15194291475994726,0.37679360893508107,0.27,0.21,0.13,0.11,0.21
GM0361,0.3504251633729628,0.14638611132981655,0.03828438705613731,0.061983308400913324,0.4029210298401701,0.17,0.21,0.13,0.11,0.21
GM0362,0.5045698152933296,0.11431715953679775,0.020695760359843048,0.02938080199062111,0.3310364628194086,0.17,0.21,0.13,0.11,0.21
GM0363,0.8744917906406879,0.021714191316158992,0.005641926927983407,0.005513440588834536,0.09263865052633513,0.17,0.21,0.13,0.17,0.21
GM0370,0.10314136125654452,0.14424083769633508,0.13612565445026178,0.3670157068062827,0.2494764397905759,0.17,0.21,0.13,0.11,0.21
GM0373,0.25616748899853314,0.1316842245632751,0.10021336178157088,0.26170156020802776,0.2502333644485931,0.17,0.13,0.09,0.11,0.13
GM0375,0.4391782678971792,0.12284269252828615,0.07518640179362845,0.048594817248031705,0.3141978205328745,0.17,0.21,0.09,0.11,0.21
GM0376,0.1291186161449753,0.19728171334431632,0.17257001647446454,0.2397034596375618,0.26132619439868204,0.27,0.21,0.09,0.11,0.21
GM0377,0.24362606232294615,0.1763456090651558,0.1508498583569405,0.16268717118575474,0.2664912990692028,0.17,0.13,0.09,0.11,0.13
GM0383,0.21620083470342732,0.166687745036044,0.11312760844821045,0.15536866068040978,0.34861515113190844,0.17,0.13,0.13,0.11,0.21
GM0384,0.5768190018039687,0.10748647023451594,0.011575466025255565,0.009019843656043296,0.2950992182802165,0.17,0.21,0.18,0.17,0.21
GM0385,0.11974761712981608,0.2178144717411733,0.05510806819707343,0.10397368774332123,0.5033561551886159,0.27,0.21,0.13,0.11,0.21
GM0388,0.254332606450132,0.18868357626535065,0.08125789050843568,0.08079880638126936,0.3949271203948124,0.27,0.21,0.13,0.17,0.21
GM0392,0.4718047630528544,0.0874119317420772,0.012054970666238046,0.008545634761177636,0.4201826997776528,0.17,0.13,0.09,0.11,0.13
GM0393,0.22760084925690025,0.1851380042462845,0.10063694267515924,0.1048832271762208,0.3817409766454353,0.17,0.21,0.13,0.11,0.21
GM0394,0.24739544636518235,0.15510096257037662,0.07121039509964172,0.07510690640117555,0.4511862895636238,0.27,0.21,0.13,0.17,0.21
GM0396,0.3286697247706422,0.15481651376146788,0.042259174311926606,0.06158256880733945,0.4126720183486238,0.17,0.21,0.13,0.17,0.21
GM0397,0.3309449884563331,0.17546373696361756,0.08478624313350848,0.04561738715070456,0.3631876442958363,0.17,0.13,0.09,0.07,0.13
GM0398,0.2174699573588319,0.15174225782831546,0.05875005383985873,0.10048671232286686,0.4715510186501271,0.27,0.21,0.18,0.17,0.21
GM0399,0.2506170495538257,0.13812416935636984,0.13726979305107273,0.201727738750712,0.27226124928801976,0.27,0.13,0.09,0.11,0.21
GM0400,0.26256963290958435,0.1563348093129553,0.04606484787887445,0.05145693472361091,0.48357377517497496,0.17,0.21,0.13,0.17,0.21
GM0402,0.3944256354012684,0.15211482523484812,0.0755328787373039,0.03986457488913262,0.3380620857374469,0.17,0.13,0.09,0.07,0.13
GM0405,0.27002043991579977,0.1711461606516367,0.04057475822935416,0.06565178925531591,0.4526068519478935,0.17,0.21,0.18,0.17,0.21
GM0406,0.2769492065177008,0.17695451409160873,0.0903349079135927,0.05620720768536702,0.3995541637917308,0.17,0.21,0.09,0.11,0.21
GM0415,0.13951077943615256,0.17371475953565504,0.06343283582089553,0.162106135986733,0.4612354892205638,0.27,0.13,0.13,0.11,0.21
GM0416,0.1473794366442836,0.15636173367053285,0.10421208685794016,0.2783640010464812,0.31368274178076216,0.27,0.21,0.13,0.11,0.21
GM0417,0.16171428571428573,0.1398095238095238,0.2855238095238095,0.21352380952380956,0.19942857142857146,0.17,0.13,0.09,0.11,0.13
GM0420,0.1277276850024009,0.15568478898788882,0.13791815611161498,0.3090220348930267,0.2696473350050685,0.27,0.21,0.18,0.11,0.21
GM0431,0.1675213675213675,0.16336996336996334,0.10842490842490844,0.15067155067155066,0.41001221001221,0.27,0.21,0.13,0.17,0.21
GM0432,0.13362887903736542,0.16846105129829006,0.11526282457251424,0.305256491450285,0.2773907536415453,0.27,0.21,0.13,0.11,0.21
GM0437,0.36533242876526456,0.14620081411126187,0.061567164179104475,0.05885345997286296,0.3680461329715061,0.17,0.21,0.13,0.17,0.21
GM0439,0.3232430617726052,0.1453111011638317,0.022856982990152198,0.032369068934646375,0.4762197851387646,0.17,0.21,0.18,0.17,0.21
GM0441,0.14631715339380047,0.15748031496062992,0.10510315957340777,0.2582976178610585,0.33280175421110336,0.17,0.21,0.13,0.11,0.21
GM0448,0.14714394516374715,0.15171363290175172,0.1773038842345773,0.2712871287128713,0.2525514089870525,0.27,0.21,0.09,0.11,0.21
GM0450,0.191587952236678,0.1865977544109784,0.09427909463553734,0.10247727677775798,0.4250579219390483,0.27,0.21,0.13,0.11,0.21
GM0451,0.29440840284213776,0.14071671300586966,0.03529502625888168,0.07275254865616311,0.4568273092369478,0.17,0.21,0.13,0.17,0.21
GM0453,0.371343886391766,0.14393199140121166,0.06846459514038174,0.022702104097452932,0.3935574229691877,0.17,0.13,0.09,0.07,0.13
GM0457,0.4744664208291429,0.11543189183148955,0.03262934406078891,0.030617946139233437,0.3468543971393452,0.17,0.21,0.09,0.11,0.21
GM0473,0.5239517873699392,0.11795611414443186,0.05851447409086226,0.056969197486350064,0.2426084269084166,0.17,0.13,0.09,0.11,0.13
GM0479,0.36130980300187615,0.15268820356472795,0.06767413227016886,0.05254749061913696,0.3657803705440901,0.17,0.13,0.09,0.11,0.21
GM0482,0.3119188503803889,0.16700881536046372,0.054945054945054944,0.058809322545586275,0.40731795676850624,0.17,0.13,0.13,0.17,0.21
GM0484,0.3339128591116294,0.1440898971695113,0.05440474928442701,0.07870242764762006,0.38889006678681226,0.17,0.21,0.13,0.11,0.21
GM0489,0.2498174230568597,0.17741262389149712,0.06729264475743349,0.05352112676056338,0.4519561815336463,0.27,0.21,0.18,0.17,0.21
GM0498,0.10503842869342442,0.14371111382213006,0.12980358667805295,0.3590337928510431,0.2624130779553495,0.27,0.21,0.18,0.11,0.21
GM0501,0.1921518987341772,0.18848101265822784,0.045063291139240506,0.09759493670886077,0.4767088607594937,0.27,0.13,0.13,0.11,0.13
GM0502,0.5491936532709065,0.10232149824424502,0.022109507088047858,0.01785017557549746,0.3085251658213032,0.17,0.21,0.13,0.17,0.21
GM0503,0.6482775186660528,0.06857897792101207,0.010729227135336387,0.007886782633064436,0.2645274936445343,0.17,0.21,0.13,0.11,0.13
GM0505,0.4353201363207889,0.1227974766151838,0.03634616779058807,0.0264484083822783,0.3790878108911609,0.17,0.21,0.13,0.17,0.21
GM0512,0.4183249908436089,0.13417165181296545,0.04877304358442193,0.051031620070809434,0.34769869368819434,0.17,0.21,0.18,0.17,0.21
GM0513,0.3978688324377137,0.13080117244748413,0.02381533952125061,0.017159257449926718,0.4303553981436248,0.17,0.13,0.13,0.11,0.13
GM0518,0.7754134908314171,0.036289145938627115,0.011372700072757268,0.008528552363833023,0.16839611079336547,0.08,0.21,0.18,0.17,0.21
GM0523,0.2460667954733646,0.15415401600883247,0.15291195142147393,0.15387800165608612,0.2929892354402429,0.17,0.21,0.09,0.11,0.21
GM0530,0.2602533340773394,0.17844986328887896,0.04318955415434406,0.0910663467440433,0.4270409017353942,0.17,0.21,0.13,0.17,0.21
GM0531,0.2368485641822793,0.1780250347705146,0.04982410210259347,0.061768796531129835,0.4735335024134828,0.17,0.21,0.13,0.17,0.21
GM0532,0.09642778873548104,0.21071663379355687,0.0992767915844839,0.19340346263423186,0.4001753232522463,0.27,0.21,0.13,0.17,0.21
GM0534,0.29361965723724964,0.1740656617798885,0.06504232913483378,0.06855255007226925,0.3987198017757588,0.17,0.21,0.13,0.11,0.21
GM0537,0.3995291616038881,0.149111482381531,0.050501215066828684,0.038198663426488456,0.3626594775212637,0.17,0.21,0.13,0.17,0.21
GM0542,0.2888924584370733,0.183037507027548,0.06489438599309293,0.05589912456830776,0.40727652397397796,0.17,0.13,0.09,0.11,0.21
GM0545,0.2740590489069191,0.1737660581473969,0.06535947712418301,0.1105476673427992,0.3762677484787018,0.17,0.21,0.09,0.11,0.21
GM0546,0.5493650848274201,0.08489624556935889,0.009239822430228157,0.006177087993392753,0.3503217591796001,0.17,0.13,0.09,0.11,0.13
GM0547,0.3997365821534409,0.15154757984853473,0.022390516957523872,0.02675337504115904,0.3995719459993415,0.17,0.13,0.13,0.17,0.21
GM0553,0.29898446833930703,0.16616885702907208,0.058841099163679814,0.060035842293906815,0.41596973317403424,0.17,0.21,0.09,0.11,0.21
GM0556,0.4949199814064679,0.1107643269805432,0.012085795869579651,0.0104920645461186,0.37173783119729065,0.17,0.21,0.18,0.17,0.21
GM0569,0.12539879475363347,0.17795108117688765,0.08755760368663594,0.2151719248493442,0.3939205955334988,0.27,0.21,0.13,0.11,0.21
GM0575,0.3801599482995395,0.13474432506664513,0.05016560303740205,0.08611357944906697,0.3488165441473463,0.17,0.13,0.09,0.11,0.21
GM0576,0.2612549240292628,0.1731851435002814,0.07597073719752391,0.11606640405177265,0.3735227912211593,0.27,0.21,0.09,0.11,0.21
GM0579,0.3451073985680191,0.1722195704057279,0.050692124105011935,0.05747016706443914,0.3745107398568019,0.17,0.21,0.13,0.11,0.21
GM0584,0.20738719423058186,0.2169379202806744,0.055355228535230484,0.07007114316343438,0.45024851379007896,0.27,0.21,0.13,0.11,0.21
GM0585,0.15423544067268766,0.1884926814076612,0.08377452507007163,0.1863905325443787,0.3871068203052009,0.27,0.21,0.09,0.11,0.21
GM0588,0.07739263134946588,0.20427294528013956,0.1081316764770002,0.26727708742097234,0.34292565947242204,0.27,0.13,0.13,0.11,0.13
GM0589,0.18097447795823665,0.17053364269141533,0.08074245939675175,0.17726218097447796,0.3904872389791184,0.17,0.21,0.09,0.11,0.21
GM0590,0.3360072544642857,0.15750558035714285,0.03662109375,0.032435825892857144,0.4374302455357143,0.17,0.21,0.13,0.17,0.21
GM0597,0.4367827039382828,0.13376827467974667,0.060145721224820224,0.0504309729034716,0.3188723272536788,0.17,0.21,0.09,0.11,0.21
GM0599,0.738145441591327,0.05645898924544832,0.011630705833646246,0.013729624601638695,0.1800352387279397,0.17,0.21,0.13,0.11,0.21
GM0603,0.7114588127013346,0.061320754716981125,0.009932504985427212,0.011313084828961498,0.2059748427672956,0.08,0.21,0.18,0.11,0.21
GM0606,0.6827662802037057,0.06105753602773865,0.011891862606999676,0.010320728139560082,0.2339635930219959,0.08,0.21,0.09,0.17,0.21
GM0610,0.3826921302703201,0.1329458437125196,0.0950272165328905,0.05517114124919273,0.33416366823507704,0.17,0.21,0.09,0.11,0.21
