geo_id,input_industry_chemical_fertilizers_scaling_factor,input_industry_chemical_refineries_scaling_factor,input_industry_chemical_other_electricity_demand,input_industry_chemical_other_network_gas_demand,input_industry_chemical_other_steam_hot_water_demand,input_industry_chemical_other_wood_pellets_demand,input_industry_chemical_other_crude_oil_demand,input_industry_chemical_other_coal_demand,input_industry_chemical_other_network_gas_non_energetic_demand,input_industry_chemical_other_wood_pellets_non_energetic_demand,input_industry_chemical_other_crude_oil_non_energetic_demand,input_industry_chemical_other_coal_non_energetic_demand,input_industry_food_electricity_demand,input_industry_food_network_gas_demand,input_industry_food_steam_hot_water_demand,input_industry_food_wood_pellets_demand,input_industry_food_crude_oil_demand,input_industry_food_coal_demand,input_industry_ict_electricity_demand,input_industry_metal_steel_scaling_factor,input_industry_metal_aluminium_scaling_factor,input_industry_metal_other_electricity_demand,input_industry_metal_other_network_gas_demand,input_industry_metal_other_steam_hot_water_demand,input_industry_metal_other_wood_pellets_demand,input_industry_metal_other_crude_oil_demand,input_industry_metal_other_coal_demand,input_industry_other_electricity_demand,input_industry_other_network_gas_demand,input_industry_other_steam_hot_water_demand,input_industry_other_wood_pellets_demand,input_industry_other_crude_oil_demand,input_industry_other_coal_demand,input_industry_other_network_gas_non_energetic_demand,input_industry_other_wood_pellets_non_energetic_demand,input_industry_other_crude_oil_non_energetic_demand,input_industry_other_coal_non_energetic_demand,input_industry_paper_electricity_demand,input_industry_paper_network_gas_demand,input_industry_paper_steam_hot_water_demand,input_industry_paper_wood_pellets_demand,input_industry_paper_crude_oil_demand,input_industry_paper_coal_demand
GM0189,0,0,8.203220424,62.81258937,0,0,0,0,0,0,0,0,16.21037806,81.56079993,0,0,0,0,0.612240979,0,0.000192466,0,0,0,0,0,0,64.38793279,22.93207535,0,0,0,0,0,0,0,0,0.352796815,0.737171664,0,0,0,0
GM1735,0,0,22.40211065,6.461742077,0,0,0,0,0,0,0,0,44.26879496,8.39043348,0,0,0,0,1.671964112,0,0.0004623,0,0,0,0,0,0,175.8365032,2.359099628,0,0,0,0,0,0,0,0,0.963450068,0.075835326,0,0,0,0
GM0147,0,0,3.113191406,8.723351805,0,0,0,0,0,0,0,0,6.151975329,11.3270852,0,0,0,0,0.23235062,0,6.72462E-05,0,0,0,0,0,0,24.43576408,3.184784498,0,0,0,0,0,0,0,0,0.13388937,0.102377689,0,0,0,0
GM0183,0,0,5.384259824,17.56925389,0,0,0,0,0,0,0,0,10.63983202,22.81329931,0,0,0,0,0.401850046,0,0.000117254,0,0,0,0,0,0,42.26161699,6.414310541,0,0,0,0,0,0,0,0,0.231561462,0.206193635,0,0,0,0
GM1774,0,0,0,0,0,0,0,0,0,0,0,0,88.19047647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM0173,0,0,0,0,0,0,0,0,0,0,0,0,55.15421441,285.8270109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM0164,0,0,61.39881555,3825.288745,1740.63005,0,0,0,0,0,0,0,81.07425354,236.4223894,15.74288991,0,0,0,190.3507653,0,0.002727221,0,0,0,0,0,0,22.64070378,17.87538968,0,0,0,0,0,0,0,0,2.640585701,44.89377845,0,0,0,0
GM0153,0,0,81.50632236,847.3809251,385.5857166,0,0,0,0,0,0,0,107.6252723,52.37247077,3.487377163,0,0,0,252.6887644,0,0.001997949,0,0,0,0,0,0,30.05531107,3.959770165,0,0,0,0,0,0,0,0,3.505351487,9.944904568,0,0,0,0
GM0158,0,0,27.15058915,14.64986378,6.666161651,0,0,0,0,0,0,0,35.85107837,0.905436434,0.060291185,0,0,0,84.17321043,0,0.000562907,0,0,0,0,0,0,10.01173135,0.068458106,0,0,0,0,0,0,0,0,1.167668412,0.171931528,0,0,0,0
GM0168,0,0,9.534001273,115.2232289,52.43029431,0,0,0,0,0,0,0,12.5892011,7.121384267,0.47419861,0,0,0,29.55764573,0,0.00023988,0,0,0,0,0,0,3.515645973,0.538432588,0,0,0,0,0,0,0,0,0.410029855,1.35226553,0,0,0,0
