geo_id,has_merit_order,has_mountains,has_offshore_solar,has_solar_csp,has_weather_curves
GM0736,TRUE,FALSE,TRUE,FALSE,TRUE
GM0737,TRUE,FALSE,TRUE,FALSE,TRUE
GM0743,TRUE,FALSE,TRUE,FALSE,TRUE
GM0744,TRUE,FALSE,TRUE,FALSE,TRUE
GM0748,TRUE,FALSE,TRUE,FALSE,TRUE
GM0753,TRUE,FALSE,TRUE,FALSE,TRUE
GM0755,TRUE,FALSE,TRUE,FALSE,TRUE
GM0757,TRUE,FALSE,TRUE,FALSE,TRUE
GM0758,TRUE,FALSE,TRUE,FALSE,TRUE
GM0762,TRUE,FALSE,TRUE,FALSE,TRUE
GM0765,TRUE,FALSE,TRUE,FALSE,TRUE
GM0766,TRUE,FALSE,TRUE,FALSE,TRUE
GM0770,TRUE,FALSE,TRUE,FALSE,TRUE
GM0772,TRUE,FALSE,TRUE,FALSE,TRUE
GM0777,TRUE,FALSE,TRUE,FALSE,TRUE
GM0779,TRUE,FALSE,TRUE,FALSE,TRUE
GM0784,TRUE,FALSE,TRUE,FALSE,TRUE
GM0785,TRUE,FALSE,TRUE,FALSE,TRUE
GM0794,TRUE,FALSE,TRUE,FALSE,TRUE
GM0796,TRUE,FALSE,TRUE,FALSE,TRUE
GM0797,TRUE,FALSE,TRUE,FALSE,TRUE
GM0798,TRUE,FALSE,TRUE,FALSE,TRUE
GM0809,TRUE,FALSE,TRUE,FALSE,TRUE
GM0820,TRUE,FALSE,TRUE,FALSE,TRUE
GM0823,TRUE,FALSE,TRUE,FALSE,TRUE
GM0824,TRUE,FALSE,TRUE,FALSE,TRUE
GM0826,TRUE,FALSE,TRUE,FALSE,TRUE
GM0828,TRUE,FALSE,TRUE,FALSE,TRUE
GM0840,TRUE,FALSE,TRUE,FALSE,TRUE
GM0845,TRUE,FALSE,TRUE,FALSE,TRUE
GM0847,TRUE,FALSE,TRUE,FALSE,TRUE
GM0848,TRUE,FALSE,TRUE,FALSE,TRUE
GM0851,TRUE,FALSE,TRUE,FALSE,TRUE
GM0852,TRUE,FALSE,TRUE,FALSE,TRUE
GM0855,TRUE,FALSE,TRUE,FALSE,TRUE
GM0858,TRUE,FALSE,TRUE,FALSE,TRUE
GM0861,TRUE,FALSE,TRUE,FALSE,TRUE
GM0865,TRUE,FALSE,TRUE,FALSE,TRUE
GM0866,TRUE,FALSE,TRUE,FALSE,TRUE
GM0867,TRUE,FALSE,TRUE,FALSE,TRUE
GM0873,TRUE,FALSE,TRUE,FALSE,TRUE
GM0879,TRUE,FALSE,TRUE,FALSE,TRUE
GM0880,TRUE,FALSE,TRUE,FALSE,TRUE
GM0882,TRUE,FALSE,TRUE,FALSE,TRUE
GM0888,TRUE,FALSE,TRUE,FALSE,TRUE
GM0889,TRUE,FALSE,TRUE,FALSE,TRUE
GM0893,TRUE,FALSE,TRUE,FALSE,TRUE
GM0899,TRUE,FALSE,TRUE,FALSE,TRUE
GM0907,TRUE,FALSE,TRUE,FALSE,TRUE
GM0917,TRUE,FALSE,TRUE,FALSE,TRUE
GM0928,TRUE,FALSE,TRUE,FALSE,TRUE
GM0935,TRUE,FALSE,TRUE,FALSE,TRUE
GM0938,TRUE,FALSE,TRUE,FALSE,TRUE
GM0944,TRUE,FALSE,TRUE,FALSE,TRUE
GM0946,TRUE,FALSE,TRUE,FALSE,TRUE
GM0957,TRUE,FALSE,TRUE,FALSE,TRUE
GM0965,TRUE,FALSE,TRUE,FALSE,TRUE
GM0971,TRUE,FALSE,TRUE,FALSE,TRUE
GM0981,TRUE,FALSE,TRUE,FALSE,TRUE
