geo_id,lv_net_total_costs_present,mv_net_total_costs_present,hv_net_total_costs_present,lv_mv_trafo_total_costs_present,mv_hv_trafo_total_costs_present,households_final_demand_electricity_demand,input_buildings_electricity_demand,buildings_final_demand_network_gas_demand,agriculture_final_demand_electricity_demand,agriculture_final_demand_network_gas_demand,agriculture_chp_engine_network_gas_demand,input_industry_ict_electricity_demand,input_industry_chemical_other_electricity_demand,input_industry_food_electricity_demand,input_industry_metal_other_electricity_demand,input_industry_paper_electricity_demand,input_industry_other_electricity_demand,input_industry_chemical_other_network_gas_demand,input_industry_food_network_gas_demand,input_industry_metal_other_network_gas_demand,input_industry_paper_network_gas_demand,input_industry_other_network_gas_demand,energy_power_sector_own_use_electricity_demand,energy_power_hv_network_loss_demand,energy_distribution_greengas_demand
GM0935,6965985.062,5986393.412,3517822.456,2481632.178,2089795.518,563.225209,1016.744546,1906.38078,7.8156,12.1536,0,45.5436,28.1516196,16.241319,0,197.0613372,1028.273524,60.02785932,34.6314573,0,420.1950152,1825.306288,13.9932,156.3164073,26.91803449
GM0938,524625.0148,450849.6221,264935.6325,186897.6615,157387.5044,102.1503076,55.18073882,94.5702,5.166521955,5.9220315,0.0598185,3.24,0.4749086,0.2514222,0,20.7842352,33.405434,1.06049655,0.56143935,0,46.4123196,17.5761945,0.0468,11.77256293,2.564202863
GM0944,218789.8044,188022.4881,110488.8512,77943.86781,65636.94131,43.33337252,21.98896873,34.3719,1.879273991,1.46226165,0.02528835,2.6208,0.2048256,0.256032,0,2.3554944,17.229648,0.4610772,0.5763465,0,5.3023878,33.8007385,0,4.909633866,1.113457345
GM0946,783408.6544,673241.8123,395621.3705,279089.3331,235022.5963,94.61776059,78.74989336,87.89205,86.1349802,76.6362972,2.6153028,4.7556,0.301656,7.9637184,0,0.1206624,53.4523632,0.2271605,5.9970372,0,0.0908642,23.9312881,0,17.57965675,2.320380087
GM1894,2225539.3,1912572.836,1123897.347,792848.3758,667661.7901,230.0584392,236.1932631,230.6652,1434.778054,1422.251303,2641.323848,7.4916,0.6435472,25.0983408,0,0.1608868,146.1044252,1.8715278,72.9895842,0,0.46788195,403.4306561,0.4752,49.94100685,23.11439918
GM1669,604612.6852,519589.0263,305329.406,215393.2691,181383.8056,113.373068,77.7158908,123.78315,18.11916149,14.4584163,5.1329337,3.9564,34.4247732,1.1711952,0,0.0836568,9.9067748,157.9026729,5.3721444,0,0.3837246,31.9669581,0.2052,13.56748283,3.37694545
GM0957,4771029.282,4100103.289,2409369.788,1699679.182,1431308.785,280.283268,528.6267791,581.50545,9.035800077,10.6228161,0.0748839,18.9972,11.5969062,20.0310198,0,561.9228186,498.1150554,48.3520829,83.5172341,0,2342.878199,2015.254334,1.9584,107.0616933,25.19908392
GM0965,216437.2258,186000.7409,109300.799,77105.7617,64931.16775,55.23257604,26.23449282,54.3874,3.1608,2.12055,0,1.3212,0.1602936,1.3370832,0,0,4.2754232,0.103812,0.865944,0,0,2.522294,0,4.856842104,1.30038814
GM1883,343236.1757,294968.5885,173334.2687,122277.8876,102970.8527,488.9720244,571.9845757,878.3297,8.93479215,9.662745,1.573005,39.9708,598.4680316,1.8153732,0,0,53.1601952,23854.31644,72.3588972,0,0,217.3592092,2.6244,166.0300915,156.9893581
GM0971,815254.128,700609.0162,411703.3346,290434.2831,244576.2384,135.1087849,119.2542927,156.0978,2.4732,2.50035,0,3.438,100.8386064,1815.094915,0,0,5291.795678,0.2725065,4.905117,0,0,20.5221765,1.5444,394.3544621,3.015274999
GM0981,277604.2679,238566.1677,140190.1553,98896.52045,83281.28037,55.31720319,53.89069859,110.0154,3.3552,1.3926,0,1.1232,0.1283256,1.9380456,0,0,1.9720288,0.24687,3.72837,0,0,2.86116,0,6.229427916,1.519828638
GM0994,545798.2217,469045.3467,275628.1019,194440.6165,163739.4665,85.19943297,131.2015765,265.1885,6.8868,4.84245,0,3.3372,0.1263856,1.3402752,0,0,3.5065392,0,0,0,0,4.96905,0.1332,12.24768878,2.791770787
GM0983,6556636.396,5634609.402,3311101.38,2335801.716,1966990.919,492.1801433,1079.498651,1044.03855,946.6162398,35.3498004,1928.528,35.6436,23.1913152,206.7892272,0,33.820668,781.3471896,36.4592808,325.0952538,0,53.1697845,1132.359331,2.5632,147.1306407,26.80018681
GM0984,2893671.606,2486749.036,1461304.161,1030870.51,868101.4818,224.1787645,327.5114215,354.9864,274.979205,379.5264174,34.8037326,12.6648,18.3451008,125.9461728,0,0,228.3999264,40.6541018,279.1060451,0,0,486.3133032,24.8544,64.93386726,9.980478971
GM0986,291719.7392,250696.6508,147318.4683,103925.1571,87515.92175,67.31385965,36.75544,49.5006,6.2172,3.9246,0,3.06,0.312426,1.8819072,0,0,7.5256668,0.33628125,2.0256,0,0,5.21291875,0,6.546178488,1.495446361
GM0988,2246712.507,1930768.561,1134589.816,800391.3307,674013.7522,244.8248526,272.284927,341.59565,40.94335211,56.8880265,1.7594235,7.0848,7.116192,74.0083968,0.3558096,0,288.0732016,4.738638,49.2818352,0.2369319,0,198.4994949,2.8224,50.41613271,6.798591742
